Program Name,Acronym,Agency Owner,Program Type,Budget,Contract Vehicle Used,Prime Contractor,Key Subcontractors,Period of Performance,Recompete Date,Incumbent Score,Related Jobs,COR/COTR,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle/Type,Key Locations,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance (Original),PoP End,PoP Start,Prime Contractor 1,Priority Level,Program Manager,Security Requirements,Source Evidence,Technical Stack,Typical Roles
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,,,,,,,,,,,"Secret, Top Secret",Medium,$190M,Services,Pentagon; NCR,“DoD JSP… enterprise IT services”,SB partners,,,,~2021–2024+,2024,2021,CACI (incumbent),Medium,,,Provided data,,Helpdesk; deskside; VTC; ICAM
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,,,,,,,,,,,"Secret, Top Secret",Medium,$450M,Services,Pentagon; JB Andrews,“Leidos… AFNCR communications… Pentagon”,,,,,Multi-year,,,Leidos,Medium,,,Provided text,,Desktop support; NetOps; ICAM engineers
DOORS,,Other,Professional Services,,,,,,,,,,,Low,,,,,,,,,,,,,Low,,,,,
DOTIE (indicative),DOTIE,DoD,,,,,,,,,,,Public Trust,Medium,,PROGRAM,DOT,“DOT IT”,,,,,Ongoing,Ongoing,,,Medium,,,Row text,,IT operations
DSS Support,DSS Support,DoD,,,,,,,,,,,Secret,Medium,,Services,NCR,“DSS/DCSA”,,,,,Ongoing,Ongoing,,Northrop (mention); others,Medium,,,Row text,,Security IT; insider threat IT support
DTIC / IAC MAC,IAC-MAC,DoD,R&D,,,,,,,,,,Secret,Medium,$28B,IDIQ,DoD labs,“IAC”,Multiple,,,,2018–2027,2027,2018,Multiple,Medium,,,IAC MAC references,,R&D SMEs; scientific analysts
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,Intel,,,,,,,,,,"Secret, Top Secret",Medium,$28B,IAC MULTIPLE-AWARD,Fort Belvoir; Kirtland AFB,“10+ openings… research analysts”,Universities; labs; niche R&D firms,,,,2018–2027,2027,2018,CACI,Medium,,,Row text,,Nuclear/Bio defense analysts; data scientists
DTRA Integrated IT Support Services,I3TS,DoD,,,,,,,,,,,"Secret, Top Secret",High,$205M,Services,Fort Belvoir; Kirtland AFB,“DTRA IT modernization”,TekSynap,,,,2025–2030,2030,2025,Leidos,High,,,Row text,,IT; cyber; ZTA specialists
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,,,,,,,,,,"Secret, Top Secret",High,$205M,Task Order,Fort Belvoir VA; Kirtland AFB NM,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,,,,2025–2030,2030,2025,Leidos,High,,,Provided,,Network admin; systems engineer; cyber analyst
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,Cyber,,,,,,,,,,"Secret, Top Secret",High,$205M,Single Award,Fort Belvoir; Kirtland AFB,“Zero Trust… AI automation focus”,TekSynap,,,,~5 years,,,Leidos,High,,,“DTRA I3TS – $205M…”,,Service desk; network mgmt; Zero Trust engineers
DTRA IT Support Modernization,I3TS,DoD,,,,,,,,,,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“PTS placed techs at DTRA HQ and AF Security reps at Kirtland”,TekSynap,,,,needs-scrape,,,Leidos,High,,,BD notes,,IT admins; service desk; network engineers
DTRA IT Support Services,I3TS,DoD,Cyber,,,,,,,,,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“Leidos took over from SB… attrition backfill”,TekSynap,,,,5 years,,,Leidos,High,,,Row text,,Help desk; network eng; Zero Trust
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,,,,,,,,,,,"Secret, Top Secret",Medium,$655M,IDIQ,Los Angeles AFB; Colorado Springs; Huntsville,“Space ground integration”,,,,,~2019–2026/27,2026,2019,SAIC,Medium,,,Row text,,Systems/software engineers; cyber engineers; space-ground integration
EDIS / HADES (follow-on),EDIS/HADES,Space Force,Intel,,,,,,,,,,"Secret, Top Secret",Medium,,RECOMPETE / PROGRAM,LAAFB; CONUS ISR nodes,“EDIS/HADES”,,,,,Upcoming,,,SAIC / Army,Medium,,,Row text,,SE&I; ISR analysts; systems engineering
EITaaS (Pilot – USAF),EITaaS,Air Force,,,,,,,,,,,"Public Trust, Secret",Medium,$50M,OTA,Multiple bases,“Outsourced base IT (pilot)”,AT&T; Microsoft,,,,2018–2021 (paused),2021,2018,CACI (pilot),Medium,,,Program notes,,Base IT; service desk; help desk; end-user services
ENCORE III,ENCORE III,DISA,,,,,,,,,,,Secret,Medium,$17.5B,IDIQ,Global CONUS/OCONUS,“DoD IT vehicle”,Numerous,,,,2018–2028,2028,2018,20 large + 20 small primes,Medium,,,ENCORE III description,,IT modernization; cyber; enterprise IT
Engineering Development & Integration Support,EDIS,Space Force,,,,,,,,,,,"Secret, Top Secret",High,$655M,IDIQ,Los Angeles AFB; Colorado Springs,“Satellite ground systems support… Ground System Enterprise… sustain legacy + integrate new sites”,SES (SW partner),,,,2019–2026/27,2026,2019,SAIC (via Engility),High,,,Provided,,Systems engineers; SW testers; satellite ground engineers
Enterprise Account Tracking & Automation Tool,ATAT,DISA,Professional Services,,,,,,,,,,TS/SCI,High,$21M,FFP,Crystal City; Remote,“ATAT… cloud account management system… DISA CCPO”,Five Star Tech Solutions,,,,Dec 2020 – Dec 2025,Dec 2025,Dec 2020,Hunter Strategy LLC,High,,,Provided,,Software developers; cloud admins; PMs; identity automation
Enterprise Ground Services,EGS,Space Force,C5ISR,,,,,,,,,,TS/SCI,Low,,Services,Peterson SFB / Los Angeles AFB (indicative),“Possible recompete; staffing for cleared ground ops”,,,,,,,,,Low,,,Provided text,,Ground SW; network ops; Space C2
Enterprise Mission Assurance Program Support,EMAPS,Army,Cyber,,,,,,,,,,Secret,Medium,,Services,NCR,“Mission assurance”,,,,,,,,,Medium,,,Row text,,RMF; cybersecurity; IA analysts
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,,,,,,,,,,,"Secret, TS/SCI",Medium,$1.3B,Task Order,Stuttgart DE; Italy; Djibouti; other OCONUS,“CACI… EUCOM/AFRICOM… OCONUS reqs”,Local national partners; small business subs,,,,2024–2029,2029,2024,CACI,Medium,,,Provided row,,Network ops; field comms; sysadmin; SATCOM support
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,C5ISR,,,,,,,,,,"Secret, Top Secret",High,$1.3B,Single Award,Stuttgart DE + 60+ sites across Europe/Africa,“Forward-deployed IT services across 20+ overseas sites”,Local nationals + small-business onsite partners,,,,5 years,,,CACI,High,,,“CACI to deliver IT expertise… PTS placed UC SME Stuttgart”,,Help desk; network ops; field comms; cloud support
EUCOM/AFRICOM IT & Comms,,DoD,,,,,,,,,,,TS/SCI,High,$1.3B,Task Order,Stuttgart + 60 EUCOM/AFRICOM sites,"“OCONUS IT support, 60 sites”",Local partners in Germany & Italy,,,,5 years,,,CACI,High,,,Provided text,,Field service techs; network ops; help desk; secure comms
EUCOM/AFRICOM IT & Comms Support,,Air Force,C5ISR,,,,,,,,,,"Secret, Top Secret",High,$1.3B,Single Award,Europe & Africa – 60+ sites,“IT services for EUCOM/AFRICOM… 60+ overseas sites”,Multiple subs (incl. local staffing),,,,2023–2028,2028,2023,CACI,High,,,Provided row text,,Field comms; network ops; help desk
F-35 Sustainment,F-35 Sustainment,DoD,IT Ops,,,,,,,,,,Secret,Medium,Multi-$B,SUSTAINMENT,Global F-35 bases,“F-35 sustainment”,RTX; BAE; Northrop,,,,Ongoing,Ongoing,,Lockheed Martin,Medium,,,Provided,,Sustainment IT; engineering; logistics IT; ALIS/ODIN support
FIAR (USMC Financial Audit Readiness),FIAR-USMF,Marines,Professional Services,,,,,,,,,,Public Trust,Medium,,Services,NCR,“FIAR”,,,,,Multi-year,,,,Medium,,,Provided,,Audit / IT controls; financial system assessors
Fleet Readiness Program (Navy),FRP,Navy,Logistics,,,,,,,,,,"Public Trust, Secret",Medium,,MULTI-AWARD,Navy depots,“Fleet readiness”,Multiple,,,,2025 est. RFP,,2025,Multiple primes,Medium,,,Provided,,Logistics analysts; IT support; engineering
FORGE (OPIR Ground – Missile Warning C2),FORGE,Space Force,IT Ops,,,,,,,,,,"Secret, TS/SCI",High,$197M,MULTI-PRIME,Buckley SFB; Aurora CO,“Missile warning ground; OPIR ingest; SBIRS follow-on”,SciTec; LinQuest (indicative),,,,2020–2025+,2025,2020,Raytheon (MDPAF); BAE (C2),High,,,Provided,,Data processing; OPIR ops; cyber; ground segment engineers
FORGE Ground System,FORGE,Space Force,IT Ops,,,,,,,,,,"Secret, TS/SCI",Low,,SPACE GROUND MODERNIZATION,Aurora CO + distributed ground sites,“Raytheon on M2C2; FORGE ground ops”,Subcontractors for space ground modernization,,,,Multi-year,,,,Low,,,Provided,,SW engineers; ground systems integrators; cloud engineers
FORGE OPIR Ground,FORGE,Space Force,IT Ops,,,,,,,,,,"Secret, TS/SCI",High,$197M,MULTI-PRIME,Buckley SFB; Aurora CO,“FORGE… system operational… ingest SBIRS/OPIR”,SciTec; Boecore; others,,,,~2020–2025+,2025,2020,Raytheon (MDPAF); BAE (C2),High,,,Provided,,Data fusion; OPIR ops; cyber engineering
Fort Eisenhower (Gordon) IT Support,,Army,IT Ops,,,,,,,,,,Secret,Medium,,,Augusta GA,“AESD Fort Eisenhower Augusta TEKsystems”,TEKsystems,,,,Multi-year,,,SAIC,Medium,,,Provided,,Service desk; night-shift coverage; sysadmin; ServiceNow
Future Operationally Resilient Ground Evolution,FORGE,Space Force,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,$600M,MULTIPLE CONTRACTS,Buckley SFB; Peterson SFB; Aurora CO,“FORGE… Raytheon $197M; BAE $151M; modernized OPIR ground architecture”,Infinity Systems; LinQuest; SciTec,,,,2020–2025 (dev),2025,2020,Raytheon (Mission Data Apps); BAE (C2),High,,,Provided,,Agile SW; data scientists; systems integrators
GBS (Global Broadcast Service),GBS,DISA,C5ISR,,,,,,,,,,TS/SCI,Low,,SATCOM / BROADCAST PROGRAM,Tampa FL (MacDill AFB); Hawaii; CONUS,"“SATCOM, DISA, GBS, MacDill”",unknown (needs-scrape),,,,Multi-year,,,L3Harris (historical),Low,,,“Clearance overview & site priorities”,,SATCOM engineers; RF tech; network admin
GBSD Sentinel Missile Modernization,GBSD,Air Force,Weapon Systems,,,,,,,,,,TS/SCI,High,,MULTI-DECADE MODERNIZATION PROGRAM,Ogden UT; Hill AFB; Vandenberg SFB,“Nuclear missile modernization”; “Sentinel”; “C3 modularity”,Leidos; CACI; other large integrators,,,,Multi-year,,,Northrop Grumman,High,,,GBSD/Sentinel program reference,,Cleared engineers; mission ops; comms; C2 engineering
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,IT Ops,,,,,,,,,,Secret,High,$526M,Task Order,CONUS & Pacific posts,“CACI secures $526M Network Modernization”,Cisco/HPE; Corning; CommScope; Black Box,,,,2024–2029,2029,2024,CACI,High,,,Provided,,Network engineers; cabling; voice techs; modernization
GENMOD / VMOD (Network Modernization),GENMOD,Army,IT Ops,,,,,,,,,,Secret,High,$526M,Task Order,Pacific + CONUS,“Base network modernization”,Cisco/HPE; CommScope; Black Box,,,,2024–2029,2029,2024,CACI,High,,,Provided,,Network installers; voice; cyber
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,IT Ops,,,,,,,,,,Secret,Medium,,Task Order,CONUS posts,“CACI – VMOD 2 – Field Service Tech”,,,,,2024+,,2024,CACI,Medium,,,Provided,,Field service techs; voice/network modernization
Global Broadcast Service,GBS,DISA,C5ISR,,,,,,,,,,TS/SCI,Low,,SATCOM PROGRAM,Tampa FL; Hawaii; CONUS,“SATCOM; GBS; MacDill”,unknown (needs-scrape),,,,Multi-year,,,L3Harris,Low,,,Site priorities doc,,SATCOM engineer; RF tech; network admin
Global Command and Control System – Joint,GCCS-J,DISA,C5ISR,,,,,,,,,,TS/SCI,Medium,,C2 SYSTEM,Fort Meade MD; Scott AFB IL,“DISA; legacy C2 modernization”,GDIT; SAIC; Raytheon (likely subs),,,,Multi-year,,,Northrop Grumman,Medium,,,BD tracker reference,,C2 engineers; SW dev; network ops
Global Command and Control System – Joint (Variant),GCCS-J,DISA,C5ISR,,,,,,,,,,Secret,Medium,$400M,IDIQ,Suffolk VA,“C2; Command & Control”,GDIT; SAIC,,,,2019–2027,2027,2019,Leidos,Medium,,,Apex Systems DISA support,,SW dev; systems engineering
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Cyber,,,,,,,,,,"Secret, TS/SCI",High,$6.5B,IDIQ,Scott AFB IL; Ft Meade MD; OCONUS nodes,“24×7 NOC; JRSS; OCONUS ops”,Insight Global; Apex Systems,,,,10 years,,,Leidos,High,,,“Provided NOC techs… subs for surge”,,NOC ops; network engineers; cyber analysts; ServiceNow
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,IT Ops,,,,,,,,,,Top Secret,High,$6.5B,IDIQ,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,“PTS placed NOC Manager at Scott AFB”,PTS,,,,Multi-year,,,Leidos,High,,,Row text,,NOC techs; cyber analysts; ServiceNow devs
Global Service Management – Operations II,GSM-O II,DISA,Cyber,,,,,,,,,,TS/SCI,High,$6.52B,IDIQ,Scott AFB; Ft Meade; OCONUS,“24×7 DoDIN cyber ops”,Insight Global; Apex Systems,,,,2019–2028,2028,2019,Leidos,High,,,Provided quote,,NOC tech; cyber ops; network engr; ServiceNow
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,IT Ops,,,,,,,,,,"Secret, TS/SCI",Medium,$6.5B,IDIQ,Scott AFB; Ft Meade; global,“DoDIN operations”,AT&T; Verizon; Parsons; staff aug vendors,,,,2018–2028,2028,2018,Leidos,Medium,,,Provided,,NOC; cyber ops; servicedesk; ServiceNow
Global Solutions Management – Operations II,GSMO II,DISA,C5ISR,,,,,,,,,,"Secret, Top Secret",Medium,,IDIQ,Scott AFB; Ft Meade; Hill AFB,“DISA; GSMO; Leidos”,CACI; SAIC; small SB partners,,,,2021–2031,2031,2021,Leidos,Medium,,,Provided,,Network engineers; systems admins; helpdesk
GMD Weapon System (Ground C2),GWS (GMD),MDA,C5ISR,,,,,,,,,,"Secret, Top Secret",High,$3.3B,IDIQ,Huntsville AL; Schriever SFB; Ft Greely AK,“GMD Weapon System… $3.3B… weapon system integrator”,Raytheon; GD; Bechtel; others,,,,2022–2027,2027,2022,Northrop Grumman,High,,,Provided,,SW sustainment; BMC3; test engineers
GMD Weapon System Modernization,GWS (GMD),MDA,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,$3.3B,IDIQ,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,Homeland missile defense,"Raytheon (BMC3), GD, Bechtel",,,,2022–2027,2027,2022,Northrop Grumman,High,,,Provided row text,,SW engineering; modeling & simulation; cyber; C2
Golden Dome,Golden Dome,DoD,C5ISR,,,,,,,,,,Secret,Low,,RECOMPETE,,“GOLDEN DOME”,,,,,Upcoming,,,,Low,,,Provided,,C2/IT; mission system support
GPS Next-Gen Operational Control System,GPS OCX,Space Force,IT Ops,,,,,,,,,,"Secret, Top Secret",High,$7.6B,R&D,Colorado Springs CO (Schriever SFB),“GPS OCX… cost overruns… provisional acceptance 2023”,Insight Global; Apex Systems (staff aug),,,,"2010–2024 (dev), then sustainment",2024,2010,Raytheon Intelligence & Space,High,,,Row text,,Software engineers; cyber analysts; helpdesk
GPS Operational Control System (sustainment),GPS OCX,Space Force,IT Ops,,,,,,,,,,"Secret, Top Secret",High,$7.7B,R&D,Aurora CO; Schriever SFB,“GPS ground control”,GDIT; Infinity; Braxton (historical); IBM tools,,,,2010–2024+,2024,2010,Raytheon,High,,,Provided,,SW dev/test; IA; cyber; sustainment
GRASP (Raytheon/Peraton),GRASP,DoD,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,C5ISR,,,,,Multi-year,,,Peraton,Medium,,,Medium,,“GRASP”
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,C5ISR,,,,,,,,,,"Secret, Top Secret",High,$13.3B,IDIQ,Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,“Sentinel ICBM modernization”,Apex Systems; Insight Global; TEKsystems; Belcan; Iron Eagle X; Prime TS,,,,2020–2039,2039,2020,Northrop Grumman,High,,,GBSD BD strategy,,Systems engineers; MBSE; SW engineers; cyber; test; logistics
Ground-Based Interceptor,GBI,MDA,Weapon Systems,,,,,,,,,,"Secret, Top Secret",Medium,Multi-$B,SUSTAINMENT,Vandenberg; Ft Greely,“GBI”,Northrop (EKV/CVKV),,,,Ongoing,Ongoing,,Boeing (lead),Medium,,,Provided,,Missile ops; missile engineers
Ground-Based Midcourse Defense,GMD,MDA,C5ISR,,,,,,,,,,"Secret, Top Secret",High,Multi-$B,MULTI-CONTRACT PROGRAM,Fort Greely; Vandenberg; Schriever,“GMD national BMD; Next-Gen Interceptor program; multi-contract”,Northrop; Raytheon; others,,,,1998–Present,Ongoing,1998,Boeing (prime); Northrop & Raytheon (NGI),High,,,Provided,,Missile defense engineers; radar techs; C2 analysts
Ground-Based Strategic Deterrent,GBSD,Air Force,Weapon Systems,,,,,,,,,,"Secret, TS/SCI",High,Multi-$B,ICBM MODERNIZATION CONTRACT,Roy UT; Hill AFB UT; Redondo Beach CA,"“Sentinel, LGM-35A, GBSD”",Aerojet Rocketdyne; Lockheed Martin,,,,Ongoing,Ongoing,,Northrop Grumman,High,,,“Northrop Grumman Sentinel Execution Strategy Guide”,,Systems engineers; cybersecurity; SW dev; logistics engineers
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,Multi-$B,R&D,Hill AFB; Offutt AFB (nuclear C3 analysts),“Long-open M&S engineer role… competitors struggling to fill”,Insight Global; TEKsystems; various cleared staffing vendors,,,,2020s–2030s,,2020,Northrop Grumman,High,,,“IG had M&S open 6+ months… PTS can supply MBSE quickly”,,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt
GSA Alliant 2,Alliant 2,DoD,IT Ops,,,,,,,,,,Secret,High,$82.5B,GWAC,Government-wide,“Alliant 2… used heavily by DoD… 40+ primes”,Numerous,,,,2018–2028,2028,2018,40+ primes,High,,,Provided,,IT solutions; dev; ops; cloud
GSA Alliant 2 GWAC,Alliant 2,DoD,Professional Services,,,,,,,,,,Secret,High,$82.5B,GWAC,Government-wide,“Used heavily by DoD agencies; myriad subcontractors”,Many IT staffing subs,,,,2018–2028,2028,2018,~40 primes,High,,,Provided,,IT developers; engineers; cloud engineers
GSA Alliant 2/3 GWAC,Alliant 2/3,DoD,IT Ops,,,,,,,,,,"Public Trust, Secret, Top Secret",Medium,,GWAC,Federal agencies nationwide,“Alliant 2/3 cited as GWAC for IT/cyber services”,Many integrators & staffing firms,,,,Multi-year,,,Multiple primes,Medium,,,Provided,,Enterprise IT; cloud; cyber; software
GSA ASTRO,ASTRO,DoD,C5ISR,,,,,,,,,,Secret,Medium,,GWAC,DoD domains (Ops/R&D/Maintenance),“ASTRO unlimited value… >$100B expected”,Numerous,,,,2021–2031,2031,2021,Dozens of primes,Medium,,,Provided,,Ops; R&D; maintenance; dev
GSA ASTRO (multiple pools),ASTRO,DoD,R&D,,,,,,,,,,Secret,Medium,,IDIQ,CONUS/OCONUS,“Manned/unmanned systems”,Multiple,,,,2021–2031,2031,2021,Multiple,Medium,,,Provided,,Ops; R&D; maintenance; unmanned systems
GSA ASTRO (pool-level entry),ASTRO,DoD,Professional Services,,,,,,,,,,Top Secret,Medium,,IDIQ,CONUS/OCONUS,"“robotics, unmanned systems”",Dozens of subs,,,,2021–2031,2031,2021,Multiple primes,Medium,,,Provided,,O&M techs; R&D engineers; robotics
GSA Multiple Award Schedule – IT SIN 54151,GSA MAS IT,DoD,Professional Services,,,,,,,,,,"Public Trust, Secret",Medium,,GWAC,Nationwide,“GSA MAS for IT/services”,Numerous IT resellers & SB subs,,,,Ongoing,Ongoing,,Many schedule holders,Medium,,,Provided,,IT contractors; dev; cyber; staff aug
GSA OASIS,OASIS,DoD,Professional Services,,,,,,,,,,Secret,Medium,,GWAC,Government-wide,“multi-billion usage… succeeded by OASIS+”,Many consulting & staffing firms,,,,2014–2024+,2024,2014,100+ primes (Pools 1–6),Medium,,,Provided,,A&AS; management; engineering
GSA OASIS / OASIS+,OASIS,DoD,Professional Services,,,,,,,,,,Secret,Medium,,GWAC,Gov-wide,“OASIS… succeeded by OASIS+”,Numerous,,,,2014–2024+,2024,2014,Multiple pools,Medium,,,Provided,,A&AS; program support; engineering
Hemisphere,Hemisphere,DoD,IT Ops,,,,,,,,,,Secret,Medium,,RECOMPETE,,“HEMISPHERE”,,,,,Upcoming,,,,Medium,,,Row text,,IT ops; system support
HHS Advanced Secure Data Repository,ASDR,DoD,Data,,,,,,,,,,Public Trust,Medium,,DATA PLATFORM,NIH / HHS,“HHS analytics”,,,,,Ongoing,Ongoing,,GDIT / SAIC (indicative),Medium,,,Provided text,,Data engineering; cyber analysts; platform engineers
Hope 2.0 (prototype),Hope 2.0,Space Force,Professional Services,,,,,,,,,,Secret,Medium,,R&D,TS,Space / R&D,Odyssey Systems,,,,Colorado Springs CO,,,SAIC,Medium,,,Medium,,"“SAIC, Hope 2.0… early-stage targeting”"
HOPE 2.0 (TENCAP Prototype Engineering),HOPE 2.0,Air Force,C5ISR,,,,,,,,,,TS/SCI,High,$928M,Task Order,Colorado Springs CO,“AF TENCAP”; “prototype engineering”; “rapid prototyping”,Raft,,,,5 years (from Jul 2025),,2025,SAIC,High,,,OrangeSlices contract note,,Project leads; cloud engineers; SW engineer SMEs; network SMEs; test leads
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,R&D,,,,,,,,,,TS/SCI,High,$155M,R&D,Orbit prototypes; SDA ground centers,“Hypersonic tracking satellites… precursor to SDA’s Tracking Layer”,,,,,2021–2023+,2023,2021,Northrop & L3Harris (co-primes),High,,,Provided program note,,Space payload engineers; infrared flight SW; tracking algorithm developers
IMDSC2,IMDSC2,DoD,C5ISR,,,,,,,,,,Secret,Medium,,RECOMPETE,,“IMDSC2”,,,,,Upcoming,,,,Medium,,,Row text,,IT; C2 engineers
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,$441M,,Camp HM Smith HI; Pacific sites,“C5ISR support across PACOM; highly technical”,,,,,2023–2028,2028,2023,Amentum,High,,,“Amentum $441M… INDOPACOM”,,IT & cyber analysts; comms engineers; systems integrators
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,IT Ops,,,,,,,,,,TS/SCI w/ Poly,Medium,$400M,,Washington DC; Reston VA,"“DIA, ISEO, surge staffing”",unknown (needs-scrape),,,,needs-scrape,,,Leidos,Medium,,,BD prompt example,,IT sustainment; help desk; desktops; network ops
INSCOM GILE Support,GILE,Army,Intel,,,,,,,,,,TS/SCI,High,$855M,IDIQ,Fort Belvoir VA; NCR,“INSCOM GILE Support – $855M – CACI”,,,,,2025–2032 est.,2032,2025,CACI,High,,,Provided text,,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel
INSCOM IT Support IV (follow-on),I2TS-4,Army,IT Ops,,,,,,,,,,TS/SCI,Medium,,RECOMPETE,Global,“INSCOM follow-on”,,,,,Upcoming,,,,Medium,,,Row placeholder,,Intel IT staff; deployable support
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,Intel,,,,,,,,,,TS/SCI,High,,Services,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,“INSCOM helpdesks… TS/SCI; multiple bases”,,,,,Multi-year,,,GDIT,High,,,Provided row,,Helpdesk; sysadmin; storage admin; DevOps; network tech
INSCOM IT Support Services III,I2TS-III,Army,Intel,,,,,,,,,,TS/SCI,Medium,$300M,Services,Fort Belvoir; worldwide,“INSCOM I2TS-III”,ActioNet; Bowhead; other SBs,,,,2018–2023,2023,2018,GDIT,Medium,,,Provided,,Enterprise IT; IA; apps; deployable comms
INSITE (indicative),INSITE,DoD,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,IT Ops,,,,,Ongoing,Ongoing,,Northrop Grumman (ref),Medium,,,Medium,,“INSITE”
Integrated Air & Missile Defense,IAMD,Army,C5ISR,,,,,,,,,,Secret,Medium,$1B,IDIQ,Huntsville AL,"“Patriot, IAMD, missile defense”",Northrop; Boeing,,,,Ongoing,Ongoing,,Raytheon,Medium,,,WISŁA/IBCS linkages,,Systems engineers; radar analysts; MLU support
Integrated Base Defense Security System,IBDS,Army,C5ISR,,,,,,,,,,Secret,Medium,,Task Order,Fort Meade; Aberdeen MD,“Army; Base Defense; IBDS”,Booz Allen; SAIC,,,,Multi-year,,,Leidos,Medium,,,PTS program-mapping data,,Network security engineers; SOC analysts
Integrated Battle Command System,IBCS,Army,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,Multi-$B,Production,Huntsville AL; WSMR; Fort Bliss,“IBCS… multi-billion; software-intensive”,SAIC; Parsons; Raytheon; KBR,,,,2010–Present,Ongoing,2010,Northrop Grumman,High,,,Prime past performance & IBCS documentation,,Systems engineering; Agile SW; MBSE; Test
Integrated Digital Engineering Environment,IDEE,Air Force,R&D,,,,,,,,,,TS/SCI,Medium,,DIGITAL ENGINEERING SUITE,Ogden UT,“IDEE; Digital Twin; SysML; Sentinel digital engineering”,L3Harris; Lockheed Martin,,,,needs-scrape,,,Northrop Grumman,Medium,,,“GBSD BD Strategy.pdf”,,MBSE engineers; SysML modelers; digital twin developers
Integrated Situational Awareness / Cyber Program,inSITE,Air Force,Cyber,,,,,,,,,,TS/SCI w/ Poly,High,$250M,IDIQ,Huntsville AL; Colorado Springs CO,“inSITE; Intel & Cyber Situational Awareness”,SAIC (assumed),,,,2015–2025 est.,2025,2015,Northrop Grumman,High,,,NGC PP past performance,,RMF SMEs; STIG analysts; cyber specialists
Integrated Situational Awareness Environment,inSITE,Army,Cyber,,,,,,,,,,"Secret, TS/SCI",High,,IT / CYBER SITUATIONAL AWARENESS,Huntsville AL; Colorado Springs CO,“Intel & cyber situational awareness”,Prime TS (support),,,,Multi-year,,,Northrop Grumman,High,,,Provided,,RMF SMEs; STIG analysts; cyber analysts
Integrated Situational Awareness Tool Environment,inSITE,DISA,Cyber,,,,,,,,,,TS/SCI,High,,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,“inSITE – RMF; STIG; cyber situational awareness”,Prime Technical Services,,,,Multi-year,,,Northrop Grumman,High,,,Provided,,RMF SMEs; STIG analysts; cyber engineers
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,Cyber,,,,,,,,,,TS/SCI,High,,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,"“Intel & cyber situational awareness”, “STIG”, “RMF”",Prime Technical Services,,,,Multi-year,,,Northrop Grumman,High,,,inSITE BD mapping text,,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,Intel,,,,,,,,,,TS/SCI,Medium,$400M,Services,Washington DC; Quantico VA; Bolling AFB,“DIA ISEO… Intel IT sustainment… help desk”,GDIT; CACI,,,,2020–2027,2027,2020,Leidos,Medium,,,BD Automation Playbook (L260–L270),,IT support; help desk; desktop support; enterprise sustainment
