Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base Contract Value (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),FPDS NAICS Code,FPDS PSC Code,NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
EDIS / HADES (follow-on),EDIS/HADES,Space Force,nan,"Secret, Top Secret",Medium,nan,nan,LAAFB; CONUS ISR nodes,“EDIS/HADES”,nan,nan,nan,SAIC / Army,Intel,nan,Row text,SE&I; ISR analysts; systems engineering,FA877319FA023,EDIS/HADES,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
EITaaS (Pilot – USAF),EITaaS,Air Force,nan,"Public Trust, Secret",Medium,$50M,nan,Multiple bases,“Outsourced base IT (pilot)”,AT&T; Microsoft,nan,nan,CACI (pilot),nan,nan,Program notes,Base IT; service desk; help desk; end-user services,FA882316C0004,EITaaS,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
ENCORE III,ENCORE III,DISA,nan,Secret,Medium,$17.5B,nan,Global CONUS/OCONUS,“DoD IT vehicle”,Numerous,nan,nan,20 large + 20 small primes,nan,nan,ENCORE III description,IT modernization; cyber; enterprise IT,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Engineering Development & Integration Support,EDIS,Space Force,nan,"Secret, Top Secret",High,$655M,nan,Los Angeles AFB; Colorado Springs,“Satellite ground systems support… Ground System Enterprise… sustain legacy + integrate new sites”,SES (SW partner),nan,nan,SAIC (via Engility),nan,nan,Provided,Systems engineers; SW testers; satellite ground engineers,FA251822F0034,EDIS,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
Enterprise Account Tracking & Automation Tool,ATAT,DISA,nan,TS/SCI,High,$21M,nan,Crystal City; Remote,“ATAT… cloud account management system… DISA CCPO”,Five Star Tech Solutions,nan,nan,Hunter Strategy LLC,Professional Services,nan,Provided,Software developers; cloud admins; PMs; identity automation,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,nan,"Secret, TS/SCI",Medium,$1.3B,nan,Stuttgart DE; Italy; Djibouti; other OCONUS,“CACI… EUCOM/AFRICOM… OCONUS reqs”,Local national partners; small business subs,nan,nan,CACI,nan,nan,Provided row,Network ops; field comms; sysadmin; SATCOM support,FA882316C0004,EUCOM/AFRICOM IT,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,nan,"Secret, Top Secret",High,$1.3B,nan,Stuttgart DE + 60+ sites across Europe/Africa,“Forward-deployed IT services across 20+ overseas sites”,Local nationals + small-business onsite partners,nan,nan,CACI,C5ISR,nan,“CACI to deliver IT expertise… PTS placed UC SME Stuttgart”,Help desk; network ops; field comms; cloud support,47QFRA19F0011,DCWAS (ref name),Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
EUCOM/AFRICOM IT & Comms,nan,DoD,nan,TS/SCI,High,$1.3B,nan,Stuttgart + 60 EUCOM/AFRICOM sites,"“OCONUS IT support, 60 sites”",Local partners in Germany & Italy,nan,nan,CACI,nan,nan,Provided text,Field service techs; network ops; help desk; secure comms,GSQ0017AJ0006,nan,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
EUCOM/AFRICOM IT & Comms Support,nan,Air Force,nan,"Secret, Top Secret",High,$1.3B,nan,Europe & Africa – 60+ sites,“IT services for EUCOM/AFRICOM… 60+ overseas sites”,Multiple subs (incl. local staffing),nan,nan,CACI,C5ISR,nan,Provided row text,Field comms; network ops; help desk,FA882316C0004,nan,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
F-35 Sustainment,F-35 Sustainment,DoD,nan,Secret,Medium,Multi-$B,nan,Global F-35 bases,“F-35 sustainment”,RTX; BAE; Northrop,nan,nan,Lockheed Martin,IT Ops,nan,Provided,Sustainment IT; engineering; logistics IT; ALIS/ODIN support,N0001917C0001,F-35 Sustainment,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Fort Eisenhower (Gordon) IT Support,nan,Army,nan,Secret,Medium,nan,nan,Augusta GA,“AESD Fort Eisenhower Augusta TEKsystems”,TEKsystems,nan,nan,SAIC,IT Ops,nan,Provided,Service desk; night-shift coverage; sysadmin; ServiceNow,W15QKN19F1290,nan,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Future Operationally Resilient Ground Evolution,FORGE,Space Force,nan,"Secret, TS/SCI",High,$600M,nan,Buckley SFB; Peterson SFB; Aurora CO,“FORGE… Raytheon $197M; BAE $151M; modernized OPIR ground architecture”,Infinity Systems; LinQuest; SciTec,nan,nan,Raytheon (Mission Data Apps); BAE (C2),C5ISR,nan,Provided,Agile SW; data scientists; systems integrators,N0001918C1021,FORGE,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
GBS (Global Broadcast Service),GBS,DISA,Low,TS/SCI,Low,nan,SATCOM / BROADCAST PROGRAM,Tampa FL (MacDill AFB); Hawaii; CONUS,"“SATCOM, DISA, GBS, MacDill”",unknown (needs-scrape),nan,nan,L3Harris (historical),C5ISR,nan,“Clearance overview & site priorities”,SATCOM engineers; RF tech; network admin,N0003022C2001,GBS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
GBSD Sentinel Missile Modernization,GBSD,Air Force,nan,TS/SCI,High,nan,nan,Ogden UT; Hill AFB; Vandenberg SFB,“Nuclear missile modernization”; “Sentinel”; “C3 modularity”,Leidos; CACI; other large integrators,nan,nan,Northrop Grumman,Weapon Systems,nan,GBSD/Sentinel program reference,Cleared engineers; mission ops; comms; C2 engineering,FA821920C0006,GBSD,High,6,,,,,,,,,,,,,,,,,,,,,Not Queried
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,nan,Secret,High,$526M,nan,CONUS & Pacific posts,“CACI secures $526M Network Modernization”,Cisco/HPE; Corning; CommScope; Black Box,nan,nan,CACI,IT Ops,nan,Provided,Network engineers; cabling; voice techs; modernization,W15QKN15C0049,GENMOD/VMOD,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
GENMOD / VMOD (Network Modernization),GENMOD,Army,nan,Secret,High,$526M,nan,Pacific + CONUS,“Base network modernization”,Cisco/HPE; CommScope; Black Box,nan,nan,CACI,IT Ops,nan,Provided,Network installers; voice; cyber,W15QKN15C0049,GENMOD,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,nan,Secret,Medium,nan,nan,CONUS posts,“CACI – VMOD 2 – Field Service Tech”,nan,nan,nan,CACI,IT Ops,nan,Provided,Field service techs; voice/network modernization,W15QKN15C0049,VMOD 2,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Global Broadcast Service,GBS,DISA,nan,TS/SCI,Low,nan,nan,Tampa FL; Hawaii; CONUS,“SATCOM; GBS; MacDill”,unknown (needs-scrape),nan,nan,L3Harris,C5ISR,nan,Site priorities doc,SATCOM engineer; RF tech; network admin,N0003022C2001,GBS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Global Command and Control System – Joint,GCCS-J,DISA,nan,TS/SCI,Medium,nan,nan,Fort Meade MD; Scott AFB IL,“DISA; legacy C2 modernization”,GDIT; SAIC; Raytheon (likely subs),nan,nan,Northrop Grumman,C5ISR,nan,BD tracker reference,C2 engineers; SW dev; network ops,FA821920C0006,GCCS-J,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Medium,Secret,Medium,$400M,IDIQ,Suffolk VA,“C2; Command & Control”,GDIT; SAIC,nan,"January 1, 2019 → January 1, 2027",Leidos,C5ISR,nan,Apex Systems DISA support,SW dev; systems engineering,HHSN261200800001E,GCCS-J,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,nan,"Secret, TS/SCI",High,$6.5B,nan,Scott AFB IL; Ft Meade MD; OCONUS nodes,“24×7 NOC; JRSS; OCONUS ops”,Insight Global; Apex Systems,nan,nan,Leidos,Cyber,nan,“Provided NOC techs… subs for surge”,NOC ops; network engineers; cyber analysts; ServiceNow,NNJ09HD46C,GSM-O II,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,nan,Top Secret,High,$6.5B,nan,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,“PTS placed NOC Manager at Scott AFB”,PTS,nan,nan,Leidos,IT Ops,nan,Row text,NOC techs; cyber analysts; ServiceNow devs,NNJ09HD46C,GSM-O II,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Global Service Management – Operations II,GSM-O II,DISA,nan,TS/SCI,High,$6.52B,nan,Scott AFB; Ft Meade; OCONUS,“24×7 DoDIN cyber ops”,Insight Global; Apex Systems,nan,nan,Leidos,Cyber,nan,Provided quote,NOC tech; cyber ops; network engr; ServiceNow,89243318CFE000003,GSM-O II,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Medium,"Secret, TS/SCI",Medium,$6.5B,IDIQ,Scott AFB; Ft Meade; global,“DoDIN operations”,AT&T; Verizon; Parsons; staff aug vendors,Current,"January 1, 2018 → January 1, 2028",Leidos,IT Ops,nan,Provided,NOC; cyber ops; servicedesk; ServiceNow,89243318CFE000003,GSM-O II,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Global Solutions Management – Operations II,GSMO II,DISA,nan,"Secret, Top Secret",Medium,nan,nan,Scott AFB; Ft Meade; Hill AFB,“DISA; GSMO; Leidos”,CACI; SAIC; small SB partners,nan,nan,Leidos,C5ISR,nan,Provided,Network engineers; systems admins; helpdesk,NNJ09HD46C,GSMO II,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
GMD Weapon System (Ground C2),GWS (GMD),MDA,🟠 High,"Secret, Top Secret",High,$3.3B,IDIQ,Huntsville AL; Schriever SFB; Ft Greely AK,“GMD Weapon System… $3.3B… weapon system integrator”,Raytheon; GD; Bechtel; others,Target,"January 1, 2022 → January 1, 2027",Northrop Grumman,C5ISR,nan,Provided,SW sustainment; BMC3; test engineers,HQ085621C0003,GWS (GMD),Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
GMD Weapon System Modernization,GWS (GMD),MDA,nan,"Secret, TS/SCI",High,$3.3B,nan,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,Homeland missile defense,"Raytheon (BMC3), GD, Bechtel",nan,nan,Northrop Grumman,C5ISR,nan,Provided row text,SW engineering; modeling & simulation; cyber; C2,HQ085621C0003,GWS (GMD),High,4,,,,,,,,,,,,,,,,,,,,,Not Queried
GPS Next-Gen Operational Control System,GPS OCX,Space Force,nan,"Secret, Top Secret",High,$7.6B,nan,Colorado Springs CO (Schriever SFB),“GPS OCX… cost overruns… provisional acceptance 2023”,Insight Global; Apex Systems (staff aug),nan,nan,Raytheon Intelligence & Space,IT Ops,nan,Row text,Software engineers; cyber analysts; helpdesk,FA880710C0001,GPS OCX,High,6,,,,,,,,,,,,,,,,,,,,,Not Queried
GPS Operational Control System (sustainment),GPS OCX,Space Force,nan,"Secret, Top Secret",High,$7.7B,nan,Aurora CO; Schriever SFB,“GPS ground control”,GDIT; Infinity; Braxton (historical); IBM tools,nan,nan,Raytheon,IT Ops,nan,Provided,SW dev/test; IA; cyber; sustainment,FA880710C0001,GPS OCX,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
GRASP (Raytheon/Peraton),GRASP,DoD,nan,Secret,Medium,nan,nan,Secret,C5ISR,nan,nan,nan,Peraton,Professional Services,nan,Medium,“GRASP”,80GSFC19C0063,GRASP,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,High,"Secret, Top Secret",High,$13.3B,IDIQ,Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,“Sentinel ICBM modernization”,Apex Systems; Insight Global; TEKsystems; Belcan; Iron Eagle X; Prime TS,Target,"January 1, 2020 → January 1, 2039",Northrop Grumman,C5ISR,nan,GBSD BD strategy,Systems engineers; MBSE; SW engineers; cyber; test; logistics,FA821920C0006,GBSD / Sentinel,High,6,,,,,,,,,,,,,,,,,,,,,Not Queried
Ground-Based Interceptor,GBI,MDA,nan,"Secret, Top Secret",Medium,Multi-$B,nan,Vandenberg; Ft Greely,“GBI”,Northrop (EKV/CVKV),nan,nan,Boeing (lead),Weapon Systems,nan,Provided,Missile ops; missile engineers,HQ085621C0003,GBI,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
Ground-Based Midcourse Defense,GMD,MDA,nan,"Secret, Top Secret",High,Multi-$B,nan,Fort Greely; Vandenberg; Schriever,“GMD national BMD; Next-Gen Interceptor program; multi-contract”,Northrop; Raytheon; others,nan,nan,Boeing (prime); Northrop & Raytheon (NGI),C5ISR,nan,Provided,Missile defense engineers; radar techs; C2 analysts,HQ085621C0003,GMD,High,9,,,,,,,,,,,,,,,,,,,,,Not Queried
Ground-Based Strategic Deterrent,GBSD,Air Force,nan,"Secret, TS/SCI",High,Multi-$B,nan,Roy UT; Hill AFB UT; Redondo Beach CA,"“Sentinel, LGM-35A, GBSD”",Aerojet Rocketdyne; Lockheed Martin,nan,nan,Northrop Grumman,Weapon Systems,nan,“Northrop Grumman Sentinel Execution Strategy Guide”,Systems engineers; cybersecurity; SW dev; logistics engineers,FA821920C0006,GBSD,High,9,,,,,,,,,,,,,,,,,,,,,Not Queried
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,nan,"Secret, TS/SCI",High,Multi-$B,nan,Hill AFB; Offutt AFB (nuclear C3 analysts),“Long-open M&S engineer role… competitors struggling to fill”,Insight Global; TEKsystems; various cleared staffing vendors,nan,nan,Northrop Grumman,C5ISR,nan,“IG had M&S open 6+ months… PTS can supply MBSE quickly”,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt,FA821920C0006,GBSD (Sentinel),High,6,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA Alliant 2,Alliant 2,DoD,nan,Secret,High,$82.5B,nan,Government-wide,“Alliant 2… used heavily by DoD… 40+ primes”,Numerous,nan,nan,40+ primes,IT Ops,nan,Provided,IT solutions; dev; ops; cloud,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA Alliant 2 GWAC,Alliant 2,DoD,nan,Secret,High,$82.5B,nan,Government-wide,“Used heavily by DoD agencies; myriad subcontractors”,Many IT staffing subs,nan,nan,~40 primes,Professional Services,nan,Provided,IT developers; engineers; cloud engineers,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA Alliant 2/3 GWAC,Alliant 2/3,DoD,nan,"Public Trust, Secret, Top Secret",Medium,nan,nan,Federal agencies nationwide,“Alliant 2/3 cited as GWAC for IT/cyber services”,Many integrators & staffing firms,nan,nan,Multiple primes,IT Ops,nan,Provided,Enterprise IT; cloud; cyber; software,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA ASTRO,ASTRO,DoD,nan,Secret,Medium,nan,nan,DoD domains (Ops/R&D/Maintenance),“ASTRO unlimited value… >$100B expected”,Numerous,nan,nan,Dozens of primes,C5ISR,nan,Provided,Ops; R&D; maintenance; dev,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA ASTRO (multiple pools),ASTRO,DoD,nan,Secret,Medium,nan,nan,CONUS/OCONUS,“Manned/unmanned systems”,Multiple,nan,nan,Multiple,R&D,nan,Provided,Ops; R&D; maintenance; unmanned systems,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA ASTRO (pool-level entry),ASTRO,DoD,Medium,Top Secret,Medium,nan,IDIQ,CONUS/OCONUS,"“robotics, unmanned systems”",Dozens of subs,nan,"January 1, 2021 → January 1, 2031",Multiple primes,Professional Services,nan,Provided,O&M techs; R&D engineers; robotics,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA Multiple Award Schedule – IT SIN 54151,GSA MAS IT,DoD,nan,"Public Trust, Secret",Medium,nan,nan,Nationwide,“GSA MAS for IT/services”,Numerous IT resellers & SB subs,nan,nan,Many schedule holders,Professional Services,nan,Provided,IT contractors; dev; cyber; staff aug,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA OASIS,OASIS,DoD,nan,Secret,Medium,nan,nan,Government-wide,“multi-billion usage… succeeded by OASIS+”,Many consulting & staffing firms,nan,nan,100+ primes (Pools 1–6),Professional Services,nan,Provided,A&AS; management; engineering,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
GSA OASIS / OASIS+,OASIS,DoD,nan,Secret,Medium,nan,nan,Gov-wide,“OASIS… succeeded by OASIS+”,Numerous,nan,nan,Multiple pools,Professional Services,nan,Provided,A&AS; program support; engineering,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
HHS Advanced Secure Data Repository,ASDR,DoD,Medium,Public Trust,Medium,nan,DATA PLATFORM,NIH / HHS,“HHS analytics”,nan,nan,nan,GDIT / SAIC (indicative),Data,nan,Provided text,Data engineering; cyber analysts; platform engineers,19AQMM18C0185,ASDR,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Hope 2.0 (prototype),Hope 2.0,Space Force,nan,Secret,Medium,nan,nan,TS,Space / R&D,Odyssey Systems,nan,nan,SAIC,Professional Services,nan,Medium,"“SAIC, Hope 2.0… early-stage targeting”",FA877319FA023,Hope 2.0,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,nan,TS/SCI,High,$155M,nan,Orbit prototypes; SDA ground centers,“Hypersonic tracking satellites… precursor to SDA’s Tracking Layer”,nan,nan,nan,Northrop & L3Harris (co-primes),R&D,nan,Provided program note,Space payload engineers; infrared flight SW; tracking algorithm developers,HQ085621C0003,HBTSS,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,nan,"Secret, TS/SCI",High,$441M,nan,Camp HM Smith HI; Pacific sites,“C5ISR support across PACOM; highly technical”,nan,nan,nan,Amentum,C5ISR,nan,“Amentum $441M… INDOPACOM”,IT & cyber analysts; comms engineers; systems integrators,0004,INDOPACOM C5ISR,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Medium,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,$400M,nan,Washington DC; Reston VA,"“DIA, ISEO, surge staffing”",unknown (needs-scrape),Target,nan,Leidos,IT Ops,nan,BD prompt example,IT sustainment; help desk; desktops; network ops,HHSN261200800001E,ISEO,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
INSCOM GILE Support,GILE,Army,nan,TS/SCI,High,$855M,nan,Fort Belvoir VA; NCR,“INSCOM GILE Support – $855M – CACI”,nan,nan,nan,CACI,Intel,nan,Provided text,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel,W15QKN15C0049,GILE,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,High,TS/SCI,High,nan,Services,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,“INSCOM helpdesks… TS/SCI; multiple bases”,nan,Current,nan,GDIT,Intel,nan,Provided row,Helpdesk; sysadmin; storage admin; DevOps; network tech,W56HZV19C0036,IT2S4 / I2TS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
INSCOM IT Support Services III,I2TS-III,Army,nan,TS/SCI,Medium,$300M,nan,Fort Belvoir; worldwide,“INSCOM I2TS-III”,ActioNet; Bowhead; other SBs,nan,nan,GDIT,Intel,nan,Provided,Enterprise IT; IA; apps; deployable comms,W56HZV19C0036,I2TS-III,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Integrated Air & Missile Defense,IAMD,Army,nan,Secret,Medium,$1B,nan,Huntsville AL,"“Patriot, IAMD, missile defense”",Northrop; Boeing,nan,nan,Raytheon,C5ISR,nan,WISŁA/IBCS linkages,Systems engineers; radar analysts; MLU support,W31P4Q15C0022,IAMD,High,5,,,,,,,,,,,,,,,,,,,,,Not Queried
Integrated Base Defense Security System,IBDS,Army,nan,Secret,Medium,nan,nan,Fort Meade; Aberdeen MD,“Army; Base Defense; IBDS”,Booz Allen; SAIC,nan,nan,Leidos,C5ISR,nan,PTS program-mapping data,Network security engineers; SOC analysts,70T04019C9DAP3006,IBDS,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Integrated Digital Engineering Environment,IDEE,Air Force,nan,TS/SCI,Medium,nan,nan,Ogden UT,“IDEE; Digital Twin; SysML; Sentinel digital engineering”,L3Harris; Lockheed Martin,nan,nan,Northrop Grumman,R&D,nan,“GBSD BD Strategy.pdf”,MBSE engineers; SysML modelers; digital twin developers,FA821920C0006,IDEE,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
Integrated Situational Awareness Environment,inSITE,Army,nan,"Secret, TS/SCI",High,nan,nan,Huntsville AL; Colorado Springs CO,“Intel & cyber situational awareness”,Prime TS (support),nan,nan,Northrop Grumman,Cyber,nan,Provided,RMF SMEs; STIG analysts; cyber analysts,FA821920C0006,inSITE,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Integrated Situational Awareness Tool Environment,inSITE,DISA,High,TS/SCI,High,nan,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,“inSITE – RMF; STIG; cyber situational awareness”,Prime Technical Services,Current,nan,Northrop Grumman,Cyber,nan,Provided,RMF SMEs; STIG analysts; cyber engineers,FA821920C0006,inSITE,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,High,TS/SCI,High,nan,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,"“Intel & cyber situational awareness”, “STIG”, “RMF”",Prime Technical Services,Current,nan,Northrop Grumman,Cyber,nan,inSITE BD mapping text,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators,FA821920C0006,inSITE,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,nan,TS/SCI,Medium,$400M,nan,Washington DC; Quantico VA; Bolling AFB,“DIA ISEO… Intel IT sustainment… help desk”,GDIT; CACI,nan,nan,Leidos,Intel,nan,BD Automation Playbook (L260–L270),IT support; help desk; desktop support; enterprise sustainment,70T04019C9DAP3006,ISEO (ISE Ops),Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Intelligence Community Infrastructure Support,I2TS-Next,Army,nan,TS/SCI,High,nan,nan,Fort Belvoir VA; Korea (possible),“PTS has experience staffing INSCOM helpdesks…”,PTS (prior INSCOM roles),nan,nan,Jacobs,Intel,nan,INSCOM I2TS-Next history,IT support; cyber security; helpdesk; systems tech,140R4024C0013,I2TS-Next,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Intelligence Systems Enterprise Operations,ISEO,DIA,High,TS/SCI,High,nan,IT SUSTAINMENT,Reston VA; DIA HQ JBAB,“DIA IT Sustainment; cleared IT workforce”,Prime TS (prospective),Target,nan,Leidos,Intel,nan,AI-playbook sample,IT support; help desk; desktop; local/remote IT sustainment,HHSN261200800001E,ISEO,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,nan,"Secret, TS/SCI",High,$406M,nan,Huntsville AL; Colorado Springs CO,"“Intel modernization, AFRL”",General Dynamics; L3Harris,nan,nan,Northrop Grumman,Intel,nan,“Northrop programs supported by Prime”,RMF SMEs; STIG/Cyber Analysts,FA821920C0006,inSITE,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Interim MDC2 / ABMS,IMDC2 / ABMS,Air Force,Medium,"Secret, Top Secret",Medium,nan,MODERNIZATION,AF bases,“JADC2 / ABMS”,Multiple,nan,nan,Multiple,C5ISR,nan,Row text,C2 engineers; JADC2 integrators,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
IT CROP (Bowhead),IT CROP,DoD,nan,Secret,Medium,nan,nan,Secret,IT Ops,nan,nan,nan,Bowhead,Professional Services,nan,Medium,“IT CROP Bowhead”,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,nan,Secret,High,$880M,nan,NCR; Guard HQs,“Enterprise SW/IT”,MetroStar; Octo (indicative),nan,nan,CACI,IT Ops,nan,Provided,Agile developers; cybersecurity; trainers; network support,W15QKN15C0049,ITEMSS,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
ITES-3S,ITES-3S,Army,nan,Secret,High,$12.1B,nan,Global,“Army IT”,Numerous,nan,nan,135 primes,IT Ops,nan,Provided,Enterprise IT services; cyber; network ops,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
J6 Enterprise Technology Services (DLA JETS),DLA JETS,DoD,nan,"Public Trust, Secret",High,$6B,nan,Fort Belvoir; Columbus OH; Richmond VA,“Nationwide coverage… Perspecta used Apex in 17 states”,Perspecta/Peraton; Apex Systems (staffing),nan,nan,Multiple (MA-IDIQ pool),IT Ops,nan,Provided,Help desk; application support; network ops; admin,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,High,"Secret, Top Secret",High,$6B,IDIQ,CONUS + OCONUS,“JETS 2.0… cloud hosting… cyber security”,"TekSynap (awardee), others",nan,"January 1, 2024 → January 1, 2029",Multiple (IDIQ MA pool),Cyber,nan,electrosoft-inc.com citation,Network & telecom services; cyber security; PM; cloud hosting,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
JGLASS II – Shared Services,JGLASS II,DHS,Medium,Public Trust,Medium,nan,Services,NCR,“Shared services”,nan,nan,nan,Peraton / SAIC (indicative),IT Ops,nan,Provided,Enterprise shared services; IT admin,GST0011AJ0025,JGLASS II,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Joint Staff J7 Support,JS J7,DoD,nan,"Secret, TS/SCI",High,$50M,nan,Suffolk VA; Quantico VA; Ft Leavenworth,“Joint Training; LVC; Wargaming”,SAIC; Leidos; GDIT,nan,nan,HII,C5ISR,nan,J7 TO descriptions,LVC integrators; red-cell analysts; M&S engineers; ISSO,19AQMM18C0185,JS J7,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Joint Tactical Ground Station Early Warning,JTAGS,Army,nan,"Secret, TS/SCI",High,nan,nan,Colorado Springs; Germany; Redondo Beach,“JTAGS early missile warning; IR satellite”,Prime TS; others,nan,nan,Northrop (prime/sub),C5ISR,nan,Provided,SW engineers; SIGINT analysts; logistics continuity,N0001918C1037,JTAGS,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
