Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Medium,Secret,Medium,$400M,IDIQ,Suffolk VA,“C2; Command & Control”,GDIT; SAIC,None,"January 1, 2019 → January 1, 2027",Leidos,C5ISR,,Apex Systems DISA support,SW dev; systems engineering
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,,"Secret, TS/SCI",High,$6.5B,,Scott AFB IL; Ft Meade MD; OCONUS nodes,“24×7 NOC; JRSS; OCONUS ops”,Insight Global; Apex Systems,,,Leidos,Cyber,,“Provided NOC techs… subs for surge”,NOC ops; network engineers; cyber analysts; ServiceNow
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,,Top Secret,High,$6.5B,,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,“PTS placed NOC Manager at Scott AFB”,PTS,,,Leidos,IT Ops,,Row text,NOC techs; cyber analysts; ServiceNow devs
Global Service Management – Operations II,GSM-O II,DISA,,TS/SCI,High,$6.52B,,Scott AFB; Ft Meade; OCONUS,“24×7 DoDIN cyber ops”,Insight Global; Apex Systems,,,Leidos,Cyber,,Provided quote,NOC tech; cyber ops; network engr; ServiceNow
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Medium,"Secret, TS/SCI",Medium,$6.5B,IDIQ,Scott AFB; Ft Meade; global,“DoDIN operations”,AT&T; Verizon; Parsons; staff aug vendors,Current,"January 1, 2018 → January 1, 2028",Leidos,IT Ops,,Provided,NOC; cyber ops; servicedesk; ServiceNow
Global Solutions Management – Operations II,GSMO II,DISA,,"Secret, Top Secret",Medium,,,Scott AFB; Ft Meade; Hill AFB,“DISA; GSMO; Leidos”,CACI; SAIC; small SB partners,,,Leidos,C5ISR,,Provided,Network engineers; systems admins; helpdesk
GMD Weapon System (Ground C2),GWS (GMD),MDA,🟠 High,"Secret, Top Secret",High,$3.3B,IDIQ,Huntsville AL; Schriever SFB; Ft Greely AK,“GMD Weapon System… $3.3B… weapon system integrator”,Raytheon; GD; Bechtel; others,Target,"January 1, 2022 → January 1, 2027",Northrop Grumman,C5ISR,,Provided,SW sustainment; BMC3; test engineers
GMD Weapon System Modernization,GWS (GMD),MDA,,"Secret, TS/SCI",High,$3.3B,,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,Homeland missile defense,"Raytheon (BMC3), GD, Bechtel",,,Northrop Grumman,C5ISR,,Provided row text,SW engineering; modeling & simulation; cyber; C2
Golden Dome,Golden Dome,DoD,,Secret,Low,,,,“GOLDEN DOME”,,,,,C5ISR,,Provided,C2/IT; mission system support
GPS Next-Gen Operational Control System,GPS OCX,Space Force,,"Secret, Top Secret",High,$7.6B,,Colorado Springs CO (Schriever SFB),“GPS OCX… cost overruns… provisional acceptance 2023”,Insight Global; Apex Systems (staff aug),,,Raytheon Intelligence & Space,IT Ops,,Row text,Software engineers; cyber analysts; helpdesk
GPS Operational Control System (sustainment),GPS OCX,Space Force,,"Secret, Top Secret",High,$7.7B,,Aurora CO; Schriever SFB,“GPS ground control”,GDIT; Infinity; Braxton (historical); IBM tools,,,Raytheon,IT Ops,,Provided,SW dev/test; IA; cyber; sustainment
GRASP (Raytheon/Peraton),GRASP,DoD,,Secret,Medium,,,Secret,C5ISR,,,,Peraton,Professional Services,,Medium,“GRASP”
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,High,"Secret, Top Secret",High,$13.3B,IDIQ,Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,“Sentinel ICBM modernization”,Apex Systems; Insight Global; TEKsystems; Belcan; Iron Eagle X; Prime TS,Target,"January 1, 2020 → January 1, 2039",Northrop Grumman,C5ISR,,GBSD BD strategy,Systems engineers; MBSE; SW engineers; cyber; test; logistics
Ground-Based Interceptor,GBI,MDA,,"Secret, Top Secret",Medium,Multi-$B,,Vandenberg; Ft Greely,“GBI”,Northrop (EKV/CVKV),,,Boeing (lead),Weapon Systems,,Provided,Missile ops; missile engineers
Ground-Based Midcourse Defense,GMD,MDA,,"Secret, Top Secret",High,Multi-$B,,Fort Greely; Vandenberg; Schriever,“GMD national BMD; Next-Gen Interceptor program; multi-contract”,Northrop; Raytheon; others,,,Boeing (prime); Northrop & Raytheon (NGI),C5ISR,,Provided,Missile defense engineers; radar techs; C2 analysts
Ground-Based Strategic Deterrent,GBSD,Air Force,,"Secret, TS/SCI",High,Multi-$B,,Roy UT; Hill AFB UT; Redondo Beach CA,"“Sentinel, LGM-35A, GBSD”",Aerojet Rocketdyne; Lockheed Martin,,,Northrop Grumman,Weapon Systems,,“Northrop Grumman Sentinel Execution Strategy Guide”,Systems engineers; cybersecurity; SW dev; logistics engineers
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,,"Secret, TS/SCI",High,Multi-$B,,Hill AFB; Offutt AFB (nuclear C3 analysts),“Long-open M&S engineer role… competitors struggling to fill”,Insight Global; TEKsystems; various cleared staffing vendors,,,Northrop Grumman,C5ISR,,“IG had M&S open 6+ months… PTS can supply MBSE quickly”,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt
GSA Alliant 2,Alliant 2,DoD,,Secret,High,$82.5B,,Government-wide,“Alliant 2… used heavily by DoD… 40+ primes”,Numerous,,,40+ primes,IT Ops,,Provided,IT solutions; dev; ops; cloud
GSA Alliant 2 GWAC,Alliant 2,DoD,,Secret,High,$82.5B,,Government-wide,“Used heavily by DoD agencies; myriad subcontractors”,Many IT staffing subs,,,~40 primes,Professional Services,,Provided,IT developers; engineers; cloud engineers
GSA Alliant 2/3 GWAC,Alliant 2/3,DoD,,"Public Trust, Secret, Top Secret",Medium,,,Federal agencies nationwide,“Alliant 2/3 cited as GWAC for IT/cyber services”,Many integrators & staffing firms,,,Multiple primes,IT Ops,,Provided,Enterprise IT; cloud; cyber; software
GSA ASTRO,ASTRO,DoD,,Secret,Medium,,,DoD domains (Ops/R&D/Maintenance),“ASTRO unlimited value… >$100B expected”,Numerous,,,Dozens of primes,C5ISR,,Provided,Ops; R&D; maintenance; dev
GSA ASTRO (multiple pools),ASTRO,DoD,,Secret,Medium,,,CONUS/OCONUS,“Manned/unmanned systems”,Multiple,,,Multiple,R&D,,Provided,Ops; R&D; maintenance; unmanned systems
GSA ASTRO (pool-level entry),ASTRO,DoD,Medium,Top Secret,Medium,,IDIQ,CONUS/OCONUS,"“robotics, unmanned systems”",Dozens of subs,None,"January 1, 2021 → January 1, 2031",Multiple primes,Professional Services,,Provided,O&M techs; R&D engineers; robotics
GSA Multiple Award Schedule – IT SIN 54151,GSA MAS IT,DoD,,"Public Trust, Secret",Medium,,,Nationwide,“GSA MAS for IT/services”,Numerous IT resellers & SB subs,,,Many schedule holders,Professional Services,,Provided,IT contractors; dev; cyber; staff aug
GSA OASIS,OASIS,DoD,,Secret,Medium,,,Government-wide,“multi-billion usage… succeeded by OASIS+”,Many consulting & staffing firms,,,100+ primes (Pools 1–6),Professional Services,,Provided,A&AS; management; engineering
GSA OASIS / OASIS+,OASIS,DoD,,Secret,Medium,,,Gov-wide,“OASIS… succeeded by OASIS+”,Numerous,,,Multiple pools,Professional Services,,Provided,A&AS; program support; engineering
Hemisphere,Hemisphere,DoD,,Secret,Medium,,,,“HEMISPHERE”,,,,,IT Ops,,Row text,IT ops; system support
HHS Advanced Secure Data Repository,ASDR,DoD,Medium,Public Trust,Medium,,DATA PLATFORM,NIH / HHS,“HHS analytics”,,None,,GDIT / SAIC (indicative),Data,,Provided text,Data engineering; cyber analysts; platform engineers
Hope 2.0 (prototype),Hope 2.0,Space Force,,Secret,Medium,,,TS,Space / R&D,Odyssey Systems,,,SAIC,Professional Services,,Medium,"“SAIC, Hope 2.0… early-stage targeting”"
HOPE 2.0 (TENCAP Prototype Engineering),HOPE 2.0,Air Force,High,TS/SCI,High,$928M,Task Order,Colorado Springs CO,“AF TENCAP”; “prototype engineering”; “rapid prototyping”,Raft,Target,"January 1, 2025",SAIC,C5ISR,,OrangeSlices contract note,Project leads; cloud engineers; SW engineer SMEs; network SMEs; test leads
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,,TS/SCI,High,$155M,,Orbit prototypes; SDA ground centers,“Hypersonic tracking satellites… precursor to SDA’s Tracking Layer”,,,,Northrop & L3Harris (co-primes),R&D,,Provided program note,Space payload engineers; infrared flight SW; tracking algorithm developers
IMDSC2,IMDSC2,DoD,,Secret,Medium,,,,“IMDSC2”,,,,,C5ISR,,Row text,IT; C2 engineers
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,,"Secret, TS/SCI",High,$441M,,Camp HM Smith HI; Pacific sites,“C5ISR support across PACOM; highly technical”,,,,Amentum,C5ISR,,“Amentum $441M… INDOPACOM”,IT & cyber analysts; comms engineers; systems integrators
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Medium,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,$400M,,Washington DC; Reston VA,"“DIA, ISEO, surge staffing”",unknown (needs-scrape),Target,,Leidos,IT Ops,,BD prompt example,IT sustainment; help desk; desktops; network ops
INSCOM GILE Support,GILE,Army,,TS/SCI,High,$855M,,Fort Belvoir VA; NCR,“INSCOM GILE Support – $855M – CACI”,,,,CACI,Intel,,Provided text,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel
INSCOM IT Support IV (follow-on),I2TS-4,Army,,TS/SCI,Medium,,,Global,“INSCOM follow-on”,,,,,IT Ops,,Row placeholder,Intel IT staff; deployable support
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,High,TS/SCI,High,,Services,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,“INSCOM helpdesks… TS/SCI; multiple bases”,,Current,,GDIT,Intel,,Provided row,Helpdesk; sysadmin; storage admin; DevOps; network tech
INSCOM IT Support Services III,I2TS-III,Army,,TS/SCI,Medium,$300M,,Fort Belvoir; worldwide,“INSCOM I2TS-III”,ActioNet; Bowhead; other SBs,,,GDIT,Intel,,Provided,Enterprise IT; IA; apps; deployable comms
INSITE (indicative),INSITE,DoD,Medium,Secret,Medium,,Program,Secret,IT Ops,,None,,Northrop Grumman (ref),Professional Services,,Medium,“INSITE”
Integrated Air & Missile Defense,IAMD,Army,,Secret,Medium,$1B,,Huntsville AL,"“Patriot, IAMD, missile defense”",Northrop; Boeing,,,Raytheon,C5ISR,,WISŁA/IBCS linkages,Systems engineers; radar analysts; MLU support
Integrated Base Defense Security System,IBDS,Army,,Secret,Medium,,,Fort Meade; Aberdeen MD,“Army; Base Defense; IBDS”,Booz Allen; SAIC,,,Leidos,C5ISR,,PTS program-mapping data,Network security engineers; SOC analysts
Integrated Battle Command System,IBCS,Army,,"Secret, TS/SCI",High,Multi-$B,,Huntsville AL; WSMR; Fort Bliss,“IBCS… multi-billion; software-intensive”,SAIC; Parsons; Raytheon; KBR,,,Northrop Grumman,C5ISR,,Prime past performance & IBCS documentation,Systems engineering; Agile SW; MBSE; Test
Integrated Digital Engineering Environment,IDEE,Air Force,,TS/SCI,Medium,,,Ogden UT,“IDEE; Digital Twin; SysML; Sentinel digital engineering”,L3Harris; Lockheed Martin,,,Northrop Grumman,R&D,,“GBSD BD Strategy.pdf”,MBSE engineers; SysML modelers; digital twin developers
Integrated Situational Awareness / Cyber Program,inSITE,Air Force,,TS/SCI w/ Poly,High,$250M,,Huntsville AL; Colorado Springs CO,“inSITE; Intel & Cyber Situational Awareness”,SAIC (assumed),,,Northrop Grumman,Cyber,,NGC PP past performance,RMF SMEs; STIG analysts; cyber specialists
Integrated Situational Awareness Environment,inSITE,Army,,"Secret, TS/SCI",High,,,Huntsville AL; Colorado Springs CO,“Intel & cyber situational awareness”,Prime TS (support),,,Northrop Grumman,Cyber,,Provided,RMF SMEs; STIG analysts; cyber analysts
Integrated Situational Awareness Tool Environment,inSITE,DISA,High,TS/SCI,High,,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,“inSITE – RMF; STIG; cyber situational awareness”,Prime Technical Services,Current,,Northrop Grumman,Cyber,,Provided,RMF SMEs; STIG analysts; cyber engineers
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,High,TS/SCI,High,,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,"“Intel & cyber situational awareness”, “STIG”, “RMF”",Prime Technical Services,Current,,Northrop Grumman,Cyber,,inSITE BD mapping text,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,,TS/SCI,Medium,$400M,,Washington DC; Quantico VA; Bolling AFB,“DIA ISEO… Intel IT sustainment… help desk”,GDIT; CACI,,,Leidos,Intel,,BD Automation Playbook (L260–L270),IT support; help desk; desktop support; enterprise sustainment
Intelligence Community Infrastructure Support,I2TS-Next,Army,,TS/SCI,High,,,Fort Belvoir VA; Korea (possible),“PTS has experience staffing INSCOM helpdesks…”,PTS (prior INSCOM roles),,,Jacobs,Intel,,INSCOM I2TS-Next history,IT support; cyber security; helpdesk; systems tech
Intelligence Systems Enterprise Operations,ISEO,DIA,High,TS/SCI,High,,IT SUSTAINMENT,Reston VA; DIA HQ JBAB,“DIA IT Sustainment; cleared IT workforce”,Prime TS (prospective),Target,,Leidos,Intel,,AI-playbook sample,IT support; help desk; desktop; local/remote IT sustainment
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,,"Secret, TS/SCI",High,$406M,,Huntsville AL; Colorado Springs CO,"“Intel modernization, AFRL”",General Dynamics; L3Harris,,,Northrop Grumman,Intel,,“Northrop programs supported by Prime”,RMF SMEs; STIG/Cyber Analysts
Interim MDC2 / ABMS,IMDC2 / ABMS,Air Force,Medium,"Secret, Top Secret",Medium,,MODERNIZATION,AF bases,“JADC2 / ABMS”,Multiple,None,,Multiple,C5ISR,,Row text,C2 engineers; JADC2 integrators
IRFS-MIES,IRFS-MIES,DoD,,Secret,Medium,,,,“IRFS-MIES”,,,,,IT Ops,,Row,IT operations
ISIS (Navy),ISIS (Navy),Navy,,Secret,Medium,,,NAVWAR,“ISIS-Navy”,,,,,C5ISR,,Row,ISR/IT specialists
IT CROP (Bowhead),IT CROP,DoD,,Secret,Medium,,,Secret,IT Ops,,,,Bowhead,Professional Services,,Medium,“IT CROP Bowhead”
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,,Secret,High,$880M,,NCR; Guard HQs,“Enterprise SW/IT”,MetroStar; Octo (indicative),,,CACI,IT Ops,,Provided,Agile developers; cybersecurity; trainers; network support
ITES-3S,ITES-3S,Army,,Secret,High,$12.1B,,Global,“Army IT”,Numerous,,,135 primes,IT Ops,,Provided,Enterprise IT services; cyber; network ops
J6 Enterprise Technology Services (DLA JETS),DLA JETS,DoD,,"Public Trust, Secret",High,$6B,,Fort Belvoir; Columbus OH; Richmond VA,“Nationwide coverage… Perspecta used Apex in 17 states”,Perspecta/Peraton; Apex Systems (staffing),,,Multiple (MA-IDIQ pool),IT Ops,,Provided,Help desk; application support; network ops; admin
J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,High,"Secret, Top Secret",High,$6B,IDIQ,CONUS + OCONUS,“JETS 2.0… cloud hosting… cyber security”,"TekSynap (awardee), others",None,"January 1, 2024 → January 1, 2029",Multiple (IDIQ MA pool),Cyber,,electrosoft-inc.com citation,Network & telecom services; cyber security; PM; cloud hosting
JGLASS II – Shared Services,JGLASS II,DHS,Medium,Public Trust,Medium,,Services,NCR,“Shared services”,,None,,Peraton / SAIC (indicative),IT Ops,,Provided,Enterprise shared services; IT admin
Joint Staff J7 Support,JS J7,DoD,,"Secret, TS/SCI",High,$50M,,Suffolk VA; Quantico VA; Ft Leavenworth,“Joint Training; LVC; Wargaming”,SAIC; Leidos; GDIT,,,HII,C5ISR,,J7 TO descriptions,LVC integrators; red-cell analysts; M&S engineers; ISSO
Joint Tactical Ground Station,JTAGS,Army,,"Secret, Top Secret",High,Multi-$M,,Colorado Springs CO; Germany; Redondo Beach CA,“JTAGS – early missile warning (IR satellite)”,Prime TS (sub),,,Northrop Grumman,Weapon Systems,,Prime TS past performance,Tactical SW engineers; SIGINT SMEs
Joint Tactical Ground Station Early Warning,JTAGS,Army,,"Secret, TS/SCI",High,,,Colorado Springs; Germany; Redondo Beach,“JTAGS early missile warning; IR satellite”,Prime TS; others,,,Northrop (prime/sub),C5ISR,,Provided,SW engineers; SIGINT analysts; logistics continuity
Joint Tactical Ground Station System,JTAGS,Army,,"Secret, Top Secret",High,$600M,,Colorado Springs; Germany; Redondo Beach,“JTAGS; missile warning; IR satellite”,Raytheon; Boeing (legacy),,,Northrop Grumman,Weapon Systems,,Past performance documentation,Tactical SW dev; SIGINT analysis
Joint Tactical Ground Stations,JTAGS,Space Force,,TS/SCI,High,Multi-$M,,Colorado Springs CO; Germany,“missile warning; JTAGS”,General Dynamics,,,Northrop Grumman,Intel,,“Northrop Programs Supported by Prime”,SW engineers; SIGINT SMEs
Joint Warfighting Cloud Capability,JWCC,DoD,High,"Secret, TS/SCI",High,$9B,IDIQ,DoD/IC sites,“JWCC… $9B… four cloud vendors”,Integrators & cloud partners,Target,"January 1, 2022 → January 1, 2027",AWS; Microsoft; Google; Oracle,IT Ops,,JWCC summary lines,Cloud migration; platform engineering; zero-trust integration
JSP Enterprise IT,JSP,DoD,,TS/SCI,High,$190M,,Pentagon / NCR,"“22,000 users… transition to DISA GSD model”",PTS (prospective),,,CACI,IT Ops,,JSP BD capture notes,Classified helpdesk; VTC; desktop support
JSP ETM (Pentagon IT),JSP ETM,DoD,,"Secret, TS/SCI",High,$190M,,Pentagon / NCR,“JSP IT… CACI incumbent”,Multiple SBs,,,CACI,IT Ops,,Provided,Helpdesk; classified VTC; classified desktop support
Justified (SAP Security),Justified,Air Force,,TS/SCI,Medium,,,Hanscom AFB; JBAB DC,“Justified… SAP… Hanscom… JBAB”,Prime TS (past performance),,,SAIC (inferred),,,Provided,SAP admins; ISSO; SAP security leads
Justified SAP Security Contract,needs-scrape,Air Force,,Top Secret,Medium,,,Hanscom AFB; JBAB DC,“SAP security”; “Hanscom”; “JBAB”,needs-scrape,,,needs-scrape,Cyber,,Provided,Program security; ISSO roles
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,,TS/SCI,Medium,,,Hanscom AFB; JBAB DC,"“SAP”, “Security”, “Hanscom”, “Bolling”",SAIC,,,Booz Allen Hamilton,Cyber,,Hiring trend heatmap,SAP Security Engineer; ISSO; ISSM
JWCC – ATAT Expansion Path,JWCC,DISA,Medium,TS/SCI,Medium,$9B,IDIQ,Global DoD; CCPO,“CCPO expanding scope to integrate JWCC into ATAT”,Five Star (potential support),None,"January 1, 2023 → January 1, 2028",AWS; Microsoft; Google; Oracle,IT Ops,,Provided text,Cloud integration leads; policy enforcement; multi-cloud operations
Kennedy Space Center BOSS,KSC BOSS,NASA,,"Public Trust, Secret",Medium,,,Kennedy Space Center FL,“Base ops support”,Multiple,,,Jacobs / Amentum (past),IT Ops,,Provided,Facility operations; IT ops
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,,Top Secret,High,,,Los Alamos NM,“LANL… Q clearance… TEKsystems listing”,TEKsystems,,,GDIT,IT Ops,,Verified job postings,VTC engineers; AV technicians; unified comms
LANL/NNSA VTC Support,,NSA,,Top Secret,High,,,Los Alamos NM,“LANL… Q clearance… GDIT + TEKsystems listing”,TEKsystems,,,GDIT,IT Ops,,Verified job references,VTC engineer; unified comms; AV/telepresence
LATERALUS (IC Space ISR),LATERALUS,NSA,,TS/SCI w/ Poly,High,$100M,,CO / NoVA SCIFs,“Space ISR… classified… Raytheon prime”,,,,Raytheon,Intel,,Provided,Satellite ops engineers; intel analysts; O&M staff
LATERALUS (Space ISR),LATERALUS,NSA,,TS/SCI w/ Poly,Medium,,,CO / NoVA,“Space ISR ground ops”,Leidos; CACI; Parsons (indicative),,,Raytheon,Intel,,Provided,O&M staff; sysadmins; intel exploitation analysts
LOGCAP V,LOGCAP V,Army,,"Public Trust, Secret",Medium,$82B,,Global theaters,“LOGCAP V… global subcontractor networks”,Large sub-networks globally,,,KBR; V2X; Fluor; Amentum,Logistics,,Provided,Base ops; supply; transportation; life support
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,,"Public Trust, Secret",Medium,$82B,,Global,“LOGCAP V… global subcontractor networks”,Large local networks,,,KBR; V2X; Fluor; Amentum,Logistics,,Provided,Base ops; supply; facilities
LRAAM (Long Range AAM),LRAAM,Air Force,Medium,Secret,Medium,,R&D,Tucson AZ,“Long-range AAM”,Northrop,Target,,Raytheon (indicative),Weapon Systems,,Row text,AAM engineers; missile systems developers
MAGIU (Navy/AF),MAGIU,Air Force,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Medium,“MAGIU”
MAIMIS (indicative),MAIMIS,Army,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Medium,“MAIMIS”
Managed IT Services (USTRANSCOM),MITS,DoD,,"Secret, Top Secret",Medium,$150M,,Scott AFB IL,“Enterprise IT; USTRANSCOM”,TEKsystems; Apex (indicative),,,SAIC,IT Ops,,Provided,Service desk; admins; cyber analysts
Marine Corps Enterprise Network,MCEN,Marines,,Secret,Medium,,,Marine bases,“USMC network”,,,,Leidos / GDIT,IT Ops,,Provided,NetOps; cyber; enterprise IT technicians
Mark 48 Heavyweight Torpedo,Mk-48,Navy,,Secret,Low,,,Middletown RI; Navy weapons centers,“Mark-48 Torpedo”,,,,Raytheon (indicative),Weapon Systems,,Provided,Systems/seeker engineering; test; manufacturing
Mark 710 (context unclear),Mark-710,Navy,,Secret,Low,,,,“Mark-710”,,,,,Weapon Systems,,Provided,Weapons techs; assembly
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Medium,Secret,Medium,,Program,NSWC Crane; NSWC Newport; Middletown RI,“Mark-48 Torpedo…”,,None,,Raytheon (indicative),Weapon Systems,,High,Torpedo assembly; electronics
Mark-710 (sub-program reference),Mark-710,Navy,Medium,Secret,Medium,,Program,NSWC Crane; NSWC Newport,“Mark-710…”,,None,,,Weapon Systems,,High,Weapon assembly technicians
MDA Tactical Embedded Systems,,MDA,Medium,Secret,Medium,,Program,"Redstone Arsenal, Huntsville AL",“Insight Global job HSV-795802… tactical embedded SW… MDA domain”,Insight Global,Target,,Northrop Grumman,Weapon Systems,,High,Embedded SW engineers; C++; tactical missile SW
MHS GENESIS (DHMSM),DHMSM,DoD,,Secret,Medium,$4.3B,,NCR; San Antonio; Remote,"“MHS GENESIS, DHA, Electronic Health Record”",Cerner; Accenture Federal,,,Leidos,Health IT,,Provided text,Clinical trainer; IT support; workflow analyst; EHR migration
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,,"Public Trust, Secret",Medium,,,MHS sites CONUS / OCONUS,“Training and go-live support; clinical IT support”,,,,Leidos,IT Ops,,Provided,Clinical help desk; applications support; site support technicians
Minuteman III Missile Program,Minuteman III,Air Force,Medium,Secret,Medium,,Program,NSWC Crane; NSWC Newport,“Minuteman 3 missile… mechanical and electronic assembly teams”,,Target,,,Weapon Systems,,Provided,Missile assembly; electronics techs; weapons sustainment
Mission Partner Environment,MPE,DoD,,"Secret, TS/SCI",High,$5.6B,,Global coalition sites,“MPE replacing BICES; $5.6B; Capgemini team”,Capgemini + 7 BPA partners,,,GDIT,C5ISR,,Provided,Coalition network engineers; CDS admins; field support teams
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,Medium,Secret,Medium,,Multi-Year,Secret → TS/SCI,C5ISR / IT Ops,,Target,,GDIT,Professional Services,,Medium,“Global coalition network mission (MPE)”
Mission Partner Environment (successor to BICES),MPE,DoD,,"Secret, TS/SCI",High,$5.6B,,Global (coalition networks),“MPE replaces BICES… $5.6B… GDIT + Capgemini team”,Capgemini + 7 BPA teammates,,,GDIT,C5ISR,,Successor contract description,Coalition network engineers; CDS administrators; field support teams
MK 48 Torpedo Program,MK 48,Navy,,Secret,Medium,,,NSWC Crane; NSWC Newport,“Mark48 torpedo… mechanical & electronic assembly teams”,,,,,Weapon Systems,,Provided description,Mechanical assembly techs; electronics techs; weapons assembly
MK 710 Weapons Program,MK 710,Navy,,Secret,Medium,,,NSWC Crane; NSWC Newport,“Mark48… Mark710… mechanical & electronic build teams”,,,,,Weapon Systems,,Provided,Mechanical/electrical weapons technicians
Modular Open Systems Approach,MOSA,Space Force,,Secret,Medium,,,National Harbor MD; US Army programs,“MOSA & Space Industry Summit… OPENSIG”,CACI; SAIC; Northrop,,,Multiple primes,R&D,,Provided,Chief engineers; PMs; open-architecture developers
MOJAVE / ACADIA,,NGA,,TS/SCI w/ Poly,Medium,,,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI + poly”,,,,CACI (indicative),Intel,,Provided reference,Cloud engineer; data pipeline; GEOINT analyst
MPCO VMOD (Voice Modernization),VMOD,Army,Medium,Secret,Medium,$382M,Task Order,CONUS Army posts,“Voice modernization”,Black Box,None,"January 1, 2023 → January 1, 2028",CACI (indicative),IT Ops,,Provided,Voice engineers; telecom modernization
MSS Smart Systems (Palantir contract),MSS,Army,,TS/SCI,Low,,,Classified CONUS/OCONUS,“Palantir… Smart Systems… classified customer”,,,,Palantir,Intel,,Provided,Data engineers; Palantir platform engineers; intel analysts; field support
Multi-Mission Command & Control,M2C2,MDA,,"Secret, TS/SCI",Medium,,,Aurora CO; Huntsville AL; Colorado Springs CO,“M2C2… C2 development… LM/Raytheon”,,,,Lockheed Martin / Raytheon,C5ISR,,Provided,C2 SW dev; embedded SW; Linux; systems engineering
NARSIL,NARSIL,DoD,,Secret,Medium,,,TS/SCI,Intel / IT Ops,,,,Peraton (indicative),Professional Services,,High,“High-value IDIQ… Peraton NARSIL”
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,🟠 High,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,,R&D,NCR; Dayton OH (indicative),“Peraton NARSIL”; “NASIC/IC ML/AI research”,,Target,,Peraton,Intel,,User portfolio references,Data scientists; SW engineers; ML/AI researchers; systems engineers
NASA Enterprise Service Support Technology,NESST,NASA,Low,"Public Trust, Secret",Low,,Services,NASA centers,“NASA IT”,,None,,SAIC / Leidos (indicative),IT Ops,,Provided,EUS support; deskside; enterprise IT
NASA ETIS III,ETIS III,NASA,Medium,,Medium,,Single Award,Goddard MD,“NASA ETIS III… Northrop prime… Peraton sub”,Peraton (major sub),None,"January 1, 2016 → January 1, 2023",Northrop Grumman,IT Ops,,Provided,Test engineers; integration specialists
NASA SENSE (Space Comms & Tracking),SENSE,NASA,,Secret,Medium,$1.8B,,Near-Earth network (TDRS),“Peraton Awarded $1.8B NASA SENSE”,All Points,,,Peraton,IT Ops,,High,Network ops; RF; sustainment
NASA SEWP,SEWP,NASA,,"Public Trust, Secret",Medium,,,Nationwide,“SEWP cited as GWAC example”,IT resellers & integrators,,,Multiple,IT Ops,,Provided,Hardware/software procurement; IT services; cloud
NASA Space Network Evolution,SENSE,NASA,,Secret,High,$1.8B,,NASA SCaN Global,“Near-Earth comms; SENSE; TDRS”,All Points,,,Peraton,C5ISR,,Provided,Satellite comm engineers; network technicians
NASA SUSE (indicative),SUSE,NASA,Low,Public Trust,Low,,Program,NASA,“NASA SUSE”,,None,,,IT Ops,,Row text,IT ops; system support
NASIC Radar Analysis Program,NASIC Radar,Air Force,,Top Secret,Medium,,,Beavercreek OH,“TS Radar Engineer – NASIC – Beavercreek OH”,,,,Ball Aerospace,Intel,,Provided,Radar engineers; data analysts
