program_name,acronym,customer_agency,prime_contractor_name,piid,contract_description,total_contract_value,period_of_performance,base_pop,option_pop,recompete_date,period_start,period_end,ultimate_completion,clearance_requirements,key_locations,task_order_locations,functional_locations,performance_location,keywords_signals,subcontractor_count,subawards_total,subawards_count,typical_roles,functional_areas,job_titles,org_hierarchy,task_orders,functional_teams,required_skills,tech_stack,technical_stack,naics_code,naics_description,psc_code,psc_description,contract_vehicle_type,contract_vehicle,using_office,funding_office,total_value,base_and_options,obligated,prime_uei,prime_legal_name,award_date,fiscal_year,date_signed,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,set_aside,bd_priority,confidence_level,pts_involvement,source_evidence,match_confidence,match_score,data_source,enrichment_date,subaward_count
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,GDIT,W56HZV19C0036,INSCOM IT Support Services (current TO iteration),,2018-12-17 to 2026-10-17,,,6/30/2028,12/17/2018,10/17/2026,12/31/2027,TS/SCI,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Fort Liberty; Fort Meade; Fort Sam Houston; JBLM, STERLING HEIGHTS, MICHIGAN",“INSCOM helpdesks… TS/SCI; multiple bases”,,,,Helpdesk; sysadmin; storage admin; DevOps; network tech,,Helpdesk; sysadmin; storage admin; DevOps; network tech,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",2350,,,Services,W4GG HQ US ARMY TACOM (Department of the Army),,"$1,359,959,159.89 ","$175,011,179.00 ","$1,359,959,159.89 ",HAWKSQF848W7,GENERAL DYNAMICS LAND SYSTEMS INC.,12/17/2018,,12/17/2018,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,High,High,Current,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
Intelligence Community Infrastructure Support,I2TS-Next,Army,Jacobs,140R4024C0013,Intelligence Community Infrastructure Support,,2024-08-30 to 2029-12-24,,,6/24/2031,8/30/2024,12/24/2029,12/24/2030,TS/SCI,Fort Belvoir VA; Korea (possible),[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Fort Belvoir VA; Korea (possible), FARMINGTON, NEW MEXICO",“PTS has experience staffing INSCOM helpdesks…”,,,,IT support; cyber security; helpdesk; systems tech,,IT support; cyber security; helpdesk; systems tech,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],237110,Water and Sewer Line and Related Structures Construction,Y1NE,,,,UPPER COLORADO REGIONAL OFFICE (Bureau of Reclamation),,"$263,095,350.76 ","$130,000,000.00 ","$263,095,350.76 ",WEBHVDKSC4T5,JACOBS PROJECT MANAGEMENT CO.,8/30/2024,,8/30/2024,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
Joint Tactical Ground Station Early Warning,JTAGS,Army,Northrop (prime/sub),N0001918C1037,Joint Tactical Ground Station Early Warning,,2018-02-15 to 2030-02-01,,,8/1/2030,2/15/2018,2/1/2030,2/1/2030,"Secret, TS/SCI",Colorado Springs; Germany; Redondo Beach,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Colorado Springs; Germany; Redondo Beach, MELBOURNE, FLORIDA",“JTAGS early missile warning; IR satellite”,,,,SW engineers; SIGINT analysts; logistics continuity,,SW engineers; SIGINT analysts; logistics continuity,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],336411,Aircraft Manufacturing,1510,,,,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),,"$8,447,894,780.67 ","$99,771,416.00 ","$8,447,894,780.67 ",PK8PM2GNVMP8,NORTHROP GRUMMAN SYSTEMS CORPORATION,2/22/2018,,2/22/2018,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Kennedy Space Center BOSS,KSC BOSS,NASA,Jacobs / Amentum (past),NNK13MA14C,Kennedy Space Center BOSS,,2013-03-01 to 2023-04-30,,,10/30/2023,3/1/2013,4/30/2023,4/30/2023,"Public Trust, Secret",Kennedy Space Center FL,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Kennedy Space Center FL, ORLANDO, FLORIDA",“Base ops support”,,,,Facility operations; IT ops,,Facility operations; IT ops,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",AR36,TRUE,,, (),,"$2,099,373,524.58 ","$868,381,267.38 ","$2,099,373,524.58 ",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",12/17/2012,,12/17/2012,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",High,5,Enriched V4,1/20/2026,
LOGCAP V,LOGCAP V,Army,KBR; V2X; Fluor; Amentum,W52P1J19F0394,LOGCAP V,$82B,2019-04-12 to 2026-03-29,,,9/29/2026,4/12/2019,3/29/2026,3/29/2026,"Public Trust, Secret",Global theaters,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Global theaters, nan",“LOGCAP V… global subcontractor networks”,,,,Base ops; supply; transportation; life support,Network Administration,Base ops; supply; transportation; life support,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],561210,Facilities Support Services,R706,,,,W4MM USA JOINT MUNITIONS CMD (Department of the Army),,$82B,"$4,709,183.80 ","$2,188,134,177.76 ",YSQMHRS4HSC5,"KELLOGG BROWN & ROOT SERVICES, INC.",4/12/2019,,4/12/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",High,6,Enriched V4,1/20/2026,
LRAAM (Long Range AAM),LRAAM,Air Force,Raytheon (indicative),FA861108C2896,LRAAM (Long Range AAM),,2008-01-01 to 2022-05-31,,,11/30/2022,1/1/2008,5/31/2022,5/31/2022,Secret,Tucson AZ,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Tucson AZ, EAST HARTFORD, CONNECTICUT",“Long-range AAM”,,,,AAM engineers; missile systems developers,,AAM engineers; missile systems developers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],488190,Other Support Activities for Air Transportation,J028,,,R&D,FA8611 AFLCMC WAUK F22 (Department of the Air Force),,"$3,648,685,783.01 ","$215,831,373.00 ","$3,648,685,783.01 ",QN1BCFY7JDJ5,RTX CORPORATION,2/19/2008,,2/19/2008,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,Medium,Medium,Target,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Mark 48 Heavyweight Torpedo,Mk-48,Navy,Raytheon (indicative),N0002422C5500,Mark 48 Heavyweight Torpedo,,2022-03-31 to 2028-09-30,,,3/30/2029,3/31/2022,9/30/2028,9/30/2028,Secret,Middletown RI; Navy weapons centers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Middletown RI; Navy weapons centers, ANDOVER, MASSACHUSETTS",“Mark-48 Torpedo”,,,,Systems/seeker engineering; test; manufacturing,,Systems/seeker engineering; test; manufacturing,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",5840,,,,NAVSEA HQ (Department of the Navy),,"$3,265,910,249.19 ","$650,746,530.00 ","$3,265,910,249.19 ",YD6LTFVUZNG1,RAYTHEON COMPANY,3/31/2022,,3/31/2022,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Low,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
MOJAVE / ACADIA,,NGA,CACI (indicative),47QFCA20F0010,MOJAVE / ACADIA,,2019-11-05 to 2024-09-29,,,3/29/2025,11/5/2019,9/29/2024,9/29/2024,TS/SCI w/ Poly,Springfield VA; St. Louis MO,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Springfield VA; St. Louis MO, CHANTILLY, VIRGINIA",“NGA MOJAVE & ACADIA… TS/SCI + poly”,,,,Cloud engineer; data pipeline; GEOINT analyst,,Cloud engineer; data pipeline; GEOINT analyst,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,D318,,,,GSA FAS AAS FEDSIM (Federal Acquisition Service),,"$824,303,222.05 ","$185,582,061.00 ","$824,303,222.05 ",N3PBJAVNKF61,"CACI, INC. - FEDERAL",11/5/2019,,11/5/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
MSS Smart Systems (Palantir contract),MSS,Army,Palantir,W911QX24F0113,MSS Smart Systems (Palantir contract),,2024-09-27 to 2026-03-31,,,9/30/2026,9/27/2024,3/31/2026,3/31/2026,TS/SCI,Classified CONUS/OCONUS,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Classified CONUS/OCONUS, PALO ALTO, CALIFORNIA",“Palantir… Smart Systems… classified customer”,,,,Data engineers; Palantir platform engineers; intel analysts; field support,,Data engineers; Palantir platform engineers; intel analysts; field support,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC35,TRUE,,,W6QK ACC-APG ADELPHI (Department of the Army),,"$70,668,314.50 ","$19,995,987.72 ","$70,668,314.50 ",HNN4F9JZWDY8,PALANTIR USG INC,9/26/2024,,9/26/2024,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Low,,"piid, prime_contractor_name, customer_agency, total_value",High,6,Enriched V4,1/20/2026,
NextGen GEO (Network/Ops),NGG,Space Force,Northrop Grumman,FA881018C0006,NextGen GEO (Network/Ops),,2018-06-25 to 2031-04-11,,,10/11/2031,6/25/2018,4/11/2031,4/11/2031,"Secret, TS/SCI",Boulder CO,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Boulder CO, REDONDO BEACH, CALIFORNIA","“OPIR, STIG, RMF; NextGen GEO ops”",,,,Network Eng; SysAdmin; Field Tech,,Network Eng; SysAdmin; Field Tech,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AR24,TRUE,,,FA8810  SPACE SENSING SSC/SNK (Department of the Air Force),,"$3,084,107,116.60 ",$1.00 ,"$3,084,107,116.60 ",VSBAFMDKTWL4,NORTHROP GRUMMAN SYSTEMS CORPORATION,6/25/2018,,6/25/2018,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
NTT Applications & BPS Support,,DoD,NTT DATA,HHSN316201500016W,NTT Applications & BPS Support,,to,,,,,,,"Public Trust, Secret",Texas; remote CONUS,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Texas; remote CONUS, nan",“NTT Data”; “Applications”; “BPS Tech Stack”,,,,Application engineers; business analysts; apps/BPS support,,Application engineers; business analysts; apps/BPS support,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],,,,,,,,,,,,,,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency",Low,0,Enriched V4,1/20/2026,
"THE CENTER FOR MEDICAID AND CHIP SERVICES (CMCS) DATA AND SYSTEMS GROUP (DSG) HAS A NEED TO PROVIDE COMPREHENSIVE DATA ANALYTICS AND TECHNICAL ASSISTANCE SERVICES THAT SUPPORT CRITICAL PROGRAM MONITORING, POLICY IMPLEMENTATION, AND HEALTHCARE IMPROVE",,Centers for Medicare and Medicaid Services,INDEX ANALYTICS LLC,75FCMC26F0028,"THE CENTER FOR MEDICAID AND CHIP SERVICES (CMCS) DATA AND SYSTEMS GROUP (DSG) HAS A NEED TO PROVIDE COMPREHENSIVE DATA ANALYTICS AND TECHNICAL ASSISTANCE SERVICES THAT SUPPORT CRITICAL PROGRAM MONITORING, POLICY IMPLEMENTATION, AND HEALTHCARE IMPROVE",,2026-02-13 to 2026-11-30,,,,2/13/2026,11/30/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, WINDSOR MILL, MARYLAND",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541511,,DA01,,,,,,56012155.75,,0,QYFPCDC4JMC5,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,,Federal Acquisition Service,ACCENTURE FEDERAL SERVICES LLC,47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,,2026-02-26 to 2027-02-25,,,,2/26/2026,2/25/2027,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, RESTON, VIRGINIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,,R425,,,,,,151939116,,151939116,C47BNA8GM833,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
THIS DELIVERY ORDER IS FOR THE COMMUNICATION WORKSTREAM VOICE SWITCH NEEDS PACKAGE ON THE BNATCS IAC.,,Federal Aviation Administration,PERATON INC.,693KA826F00054,THIS DELIVERY ORDER IS FOR THE COMMUNICATION WORKSTREAM VOICE SWITCH NEEDS PACKAGE ON THE BNATCS IAC.,,2026-01-09 to 2028-12-31,,,,1/9/2026,12/31/2028,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, WASHINGTON, DISTRICT OF COLUMBIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,,R499,,,,,,14512948,,14512948,ZBPQEJVECCT4,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
THIS DELIVERY ORDER IS FOR THE RADIO- ACLS NEEDS PACKAGE. ALL OTHER TERMS AND CONDITIONS OF THE CONTRACT REMAIN UNCHANGED AND IN FULL EFFECT.,,Federal Aviation Administration,PERATON INC.,693KA826F00055,THIS DELIVERY ORDER IS FOR THE RADIO- ACLS NEEDS PACKAGE. ALL OTHER TERMS AND CONDITIONS OF THE CONTRACT REMAIN UNCHANGED AND IN FULL EFFECT.,,2026-01-09 to 2028-12-31,,,,1/9/2026,12/31/2028,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, WASHINGTON, DISTRICT OF COLUMBIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,,R499,,,,,,12088952,,12088952,ZBPQEJVECCT4,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
THIS NEEDS PACKAGE IS FOR START UP ACTIVITIES CAPTURED BELOW:  ESTABLISH AND MANAGE PROGRAM AND INTEGRATION MANAGEMENT ESTABLISH AND MANAGE PROGRAM START-UP MANAGEMENT ESTABLISH AND MANAGE COMMUNICATIONS AND ORGANIZATIONAL CHANGE MANAGEMENT ESTAB,,Federal Aviation Administration,PERATON INC.,693KA726F00008,THIS NEEDS PACKAGE IS FOR START UP ACTIVITIES CAPTURED BELOW:  ESTABLISH AND MANAGE PROGRAM AND INTEGRATION MANAGEMENT ESTABLISH AND MANAGE PROGRAM START-UP MANAGEMENT ESTABLISH AND MANAGE COMMUNICATIONS AND ORGANIZATIONAL CHANGE MANAGEMENT ESTAB,,2026-01-09 to 2026-01-30,,,,1/9/2026,1/30/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, WASHINGTON, DISTRICT OF COLUMBIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,,R499,,,,,,10000000,,10000000,ZBPQEJVECCT4,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
THIS DELIVERY ORDER IS FOR THE RADARS NEEDS PACKAGE. ALL OTHER TERMS AND CONDITIONS OF THE CONTRACT REMAIN UNCHANGED AND IN FULL EFFECT.,,Federal Aviation Administration,PERATON INC.,693KA726F00009,THIS DELIVERY ORDER IS FOR THE RADARS NEEDS PACKAGE. ALL OTHER TERMS AND CONDITIONS OF THE CONTRACT REMAIN UNCHANGED AND IN FULL EFFECT.,,2026-01-09 to 2028-12-31,,,,1/9/2026,12/31/2028,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, WASHINGTON, DISTRICT OF COLUMBIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,,R499,,,,,,50000000,,50000000,ZBPQEJVECCT4,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",,Department of the Air Force,"ALASKA NORTHSTAR FEDERAL, LLC",FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",,2025-10-20 to 2027-03-31,,,,10/20/2025,3/31/2027,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, HILL AFB, UTAH",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541513,,DA01,,,,,,18650973.6,,18650973.6,DJBTEEVJXCH8,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
FY26 SPHQ HELPDESK TASK ORDER,,Department of the Navy,"CHENEGA DEFENSE & AEROSPACE SOLUTIONS, LLC",N0003025F4540,FY26 SPHQ HELPDESK TASK ORDER,,2025-09-30 to 2026-09-30,,,,9/30/2025,9/30/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, WASHINGTON NAVY YARD, DISTRICT OF COLUMBIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541513,,DF01,,,,,,5599664.15,,0,EMFSYRQHWLM4,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
LABOR HOUR AWARD LITIGATION SUPPORT SERVICES - FREEDOM OF INFORMATION ACT (FOIA)  COR: PAMELA WHETSTONE OFFICE: 240-402-1114 CELL: 301-908-1558  PAMELA.WHETSTONE@FDA.HHS.GOV    CS; KIMBERLY W. DAVIS 703-587-7126 KIMBERLY.DAVIS@FDA.HHS.GOV,,Food and Drug Administration,"AKIMA SECURE TECHNOLOGIES, LLC",75F40125C00106,LABOR HOUR AWARD LITIGATION SUPPORT SERVICES - FREEDOM OF INFORMATION ACT (FOIA)  COR: PAMELA WHETSTONE OFFICE: 240-402-1114 CELL: 301-908-1558  PAMELA.WHETSTONE@FDA.HHS.GOV    CS; KIMBERLY W. DAVIS 703-587-7126 KIMBERLY.DAVIS@FDA.HHS.GOV,,2025-09-30 to 2026-09-29,,,,9/30/2025,9/29/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, SILVER SPRING, MARYLAND",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541513,,R408,,,,,,9779700,,9779700,CNR1C5KGVRC1,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
USASOC EQUIPMENT PURCHASE,,Department of the Army,"COHO TECHNOLOGY SOLUTIONS, LLC",W912DY25F0479,USASOC EQUIPMENT PURCHASE,,2025-09-30 to 2026-09-29,,,,9/30/2025,9/29/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, FORT BRAGG, NORTH CAROLINA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541513,,7G21,,,,,,9194890.03,,9194890.03,CXH4JDVF3QD7,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
DELIVERY OF 779 JAVELINXL DEVICES,,U.S. Coast Guard,INCADENCE STRATEGIC SOLUTIONS LLC,70Z0G326FOIPL0012,DELIVERY OF 779 JAVELINXL DEVICES,,2026-01-15 to 2026-11-30,,,,1/15/2026,11/30/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, MANASSAS, VIRGINIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541519,,DF01,,,,,,7217387.31,,7217387.31,D1JARVWENN16,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
"CDC- NCCDPHP, ORGANIZATIONAL AND CUSTOMER-CENTRIC TRANSFORMATION.",,,DELOITTE CONSULTING LLP,47QACA25F0304,"CDC- NCCDPHP, ORGANIZATIONAL AND CUSTOMER-CENTRIC TRANSFORMATION.",,2025-09-22 to 2026-09-21,,,,9/22/2025,9/21/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, WASHINGTON, DISTRICT OF COLUMBIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541612,,R431,,,,,,13708385.33,,13708385.33,CKV2L9GZKJK3,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, total_value",,,Discovery V2,1/20/2026,
