Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
IT CROP (Bowhead),IT CROP,DoD,,Secret,Medium,,,Secret,IT Ops,,,,Bowhead,Professional Services,,Medium,“IT CROP Bowhead”
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,,Secret,High,$880M,,NCR; Guard HQs,“Enterprise SW/IT”,MetroStar; Octo (indicative),,,CACI,IT Ops,,Provided,Agile developers; cybersecurity; trainers; network support
ITES-3S,ITES-3S,Army,,Secret,High,$12.1B,,Global,“Army IT”,Numerous,,,135 primes,IT Ops,,Provided,Enterprise IT services; cyber; network ops
J6 Enterprise Technology Services (DLA JETS),DLA JETS,DoD,,"Public Trust, Secret",High,$6B,,Fort Belvoir; Columbus OH; Richmond VA,“Nationwide coverage… Perspecta used Apex in 17 states”,Perspecta/Peraton; Apex Systems (staffing),,,Multiple (MA-IDIQ pool),IT Ops,,Provided,Help desk; application support; network ops; admin
J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,High,"Secret, Top Secret",High,$6B,IDIQ,CONUS + OCONUS,“JETS 2.0… cloud hosting… cyber security”,"TekSynap (awardee), others",None,"January 1, 2024 → January 1, 2029",Multiple (IDIQ MA pool),Cyber,,electrosoft-inc.com citation,Network & telecom services; cyber security; PM; cloud hosting
JGLASS II – Shared Services,JGLASS II,DHS,Medium,Public Trust,Medium,,Services,NCR,“Shared services”,,None,,Peraton / SAIC (indicative),IT Ops,,Provided,Enterprise shared services; IT admin
Joint Staff J7 Support,JS J7,DoD,,"Secret, TS/SCI",High,$50M,,Suffolk VA; Quantico VA; Ft Leavenworth,“Joint Training; LVC; Wargaming”,SAIC; Leidos; GDIT,,,HII,C5ISR,,J7 TO descriptions,LVC integrators; red-cell analysts; M&S engineers; ISSO
Joint Tactical Ground Station Early Warning,JTAGS,Army,,"Secret, TS/SCI",High,,,Colorado Springs; Germany; Redondo Beach,“JTAGS early missile warning; IR satellite”,Prime TS; others,,,Northrop (prime/sub),C5ISR,,Provided,SW engineers; SIGINT analysts; logistics continuity
Joint Tactical Ground Stations,JTAGS,Space Force,,TS/SCI,High,Multi-$M,,Colorado Springs CO; Germany,“missile warning; JTAGS”,General Dynamics,,,Northrop Grumman,Intel,,“Northrop Programs Supported by Prime”,SW engineers; SIGINT SMEs
Joint Warfighting Cloud Capability,JWCC,DoD,High,"Secret, TS/SCI",High,$9B,IDIQ,DoD/IC sites,“JWCC… $9B… four cloud vendors”,Integrators & cloud partners,Target,"January 1, 2022 → January 1, 2027",AWS; Microsoft; Google; Oracle,IT Ops,,JWCC summary lines,Cloud migration; platform engineering; zero-trust integration
JSP Enterprise IT,JSP,DoD,,TS/SCI,High,$190M,,Pentagon / NCR,"“22,000 users… transition to DISA GSD model”",PTS (prospective),,,CACI,IT Ops,,JSP BD capture notes,Classified helpdesk; VTC; desktop support
JSP ETM (Pentagon IT),JSP ETM,DoD,,"Secret, TS/SCI",High,$190M,,Pentagon / NCR,“JSP IT… CACI incumbent”,Multiple SBs,,,CACI,IT Ops,,Provided,Helpdesk; classified VTC; classified desktop support
Justified (SAP Security),Justified,Air Force,,TS/SCI,Medium,,,Hanscom AFB; JBAB DC,“Justified… SAP… Hanscom… JBAB”,Prime TS (past performance),,,SAIC (inferred),,,Provided,SAP admins; ISSO; SAP security leads
Justified SAP Security Contract,needs-scrape,Air Force,,Top Secret,Medium,,,Hanscom AFB; JBAB DC,“SAP security”; “Hanscom”; “JBAB”,needs-scrape,,,needs-scrape,Cyber,,Provided,Program security; ISSO roles
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,,TS/SCI,Medium,,,Hanscom AFB; JBAB DC,"“SAP”, “Security”, “Hanscom”, “Bolling”",SAIC,,,Booz Allen Hamilton,Cyber,,Hiring trend heatmap,SAP Security Engineer; ISSO; ISSM
JWCC – ATAT Expansion Path,JWCC,DISA,Medium,TS/SCI,Medium,$9B,IDIQ,Global DoD; CCPO,“CCPO expanding scope to integrate JWCC into ATAT”,Five Star (potential support),None,"January 1, 2023 → January 1, 2028",AWS; Microsoft; Google; Oracle,IT Ops,,Provided text,Cloud integration leads; policy enforcement; multi-cloud operations
Kennedy Space Center BOSS,KSC BOSS,NASA,,"Public Trust, Secret",Medium,,,Kennedy Space Center FL,“Base ops support”,Multiple,,,Jacobs / Amentum (past),IT Ops,,Provided,Facility operations; IT ops
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,,Top Secret,High,,,Los Alamos NM,“LANL… Q clearance… TEKsystems listing”,TEKsystems,,,GDIT,IT Ops,,Verified job postings,VTC engineers; AV technicians; unified comms
LANL/NNSA VTC Support,,NSA,,Top Secret,High,,,Los Alamos NM,“LANL… Q clearance… GDIT + TEKsystems listing”,TEKsystems,,,GDIT,IT Ops,,Verified job references,VTC engineer; unified comms; AV/telepresence
LATERALUS (IC Space ISR),LATERALUS,NSA,,TS/SCI w/ Poly,High,$100M,,CO / NoVA SCIFs,“Space ISR… classified… Raytheon prime”,,,,Raytheon,Intel,,Provided,Satellite ops engineers; intel analysts; O&M staff
LATERALUS (Space ISR),LATERALUS,NSA,,TS/SCI w/ Poly,Medium,,,CO / NoVA,“Space ISR ground ops”,Leidos; CACI; Parsons (indicative),,,Raytheon,Intel,,Provided,O&M staff; sysadmins; intel exploitation analysts
LOGCAP V,LOGCAP V,Army,,"Public Trust, Secret",Medium,$82B,,Global theaters,“LOGCAP V… global subcontractor networks”,Large sub-networks globally,,,KBR; V2X; Fluor; Amentum,Logistics,,Provided,Base ops; supply; transportation; life support
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,,"Public Trust, Secret",Medium,$82B,,Global,“LOGCAP V… global subcontractor networks”,Large local networks,,,KBR; V2X; Fluor; Amentum,Logistics,,Provided,Base ops; supply; facilities
LRAAM (Long Range AAM),LRAAM,Air Force,Medium,Secret,Medium,,R&D,Tucson AZ,“Long-range AAM”,Northrop,Target,,Raytheon (indicative),Weapon Systems,,Row text,AAM engineers; missile systems developers
Managed IT Services (USTRANSCOM),MITS,DoD,,"Secret, Top Secret",Medium,$150M,,Scott AFB IL,“Enterprise IT; USTRANSCOM”,TEKsystems; Apex (indicative),,,SAIC,IT Ops,,Provided,Service desk; admins; cyber analysts
Marine Corps Enterprise Network,MCEN,Marines,,Secret,Medium,,,Marine bases,“USMC network”,,,,Leidos / GDIT,IT Ops,,Provided,NetOps; cyber; enterprise IT technicians
Mark 48 Heavyweight Torpedo,Mk-48,Navy,,Secret,Low,,,Middletown RI; Navy weapons centers,“Mark-48 Torpedo”,,,,Raytheon (indicative),Weapon Systems,,Provided,Systems/seeker engineering; test; manufacturing
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Medium,Secret,Medium,,Program,NSWC Crane; NSWC Newport; Middletown RI,“Mark-48 Torpedo…”,,None,,Raytheon (indicative),Weapon Systems,,High,Torpedo assembly; electronics
MDA Tactical Embedded Systems,,MDA,Medium,Secret,Medium,,Program,"Redstone Arsenal, Huntsville AL",“Insight Global job HSV-795802… tactical embedded SW… MDA domain”,Insight Global,Target,,Northrop Grumman,Weapon Systems,,High,Embedded SW engineers; C++; tactical missile SW
MHS GENESIS (DHMSM),DHMSM,DoD,,Secret,Medium,$4.3B,,NCR; San Antonio; Remote,"“MHS GENESIS, DHA, Electronic Health Record”",Cerner; Accenture Federal,,,Leidos,Health IT,,Provided text,Clinical trainer; IT support; workflow analyst; EHR migration
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,,"Public Trust, Secret",Medium,,,MHS sites CONUS / OCONUS,“Training and go-live support; clinical IT support”,,,,Leidos,IT Ops,,Provided,Clinical help desk; applications support; site support technicians
Mission Partner Environment,MPE,DoD,,"Secret, TS/SCI",High,$5.6B,,Global coalition sites,“MPE replacing BICES; $5.6B; Capgemini team”,Capgemini + 7 BPA partners,,,GDIT,C5ISR,,Provided,Coalition network engineers; CDS admins; field support teams
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,Medium,Secret,Medium,,Multi-Year,Secret → TS/SCI,C5ISR / IT Ops,,Target,,GDIT,Professional Services,,Medium,“Global coalition network mission (MPE)”
Mission Partner Environment (successor to BICES),MPE,DoD,,"Secret, TS/SCI",High,$5.6B,,Global (coalition networks),“MPE replaces BICES… $5.6B… GDIT + Capgemini team”,Capgemini + 7 BPA teammates,,,GDIT,C5ISR,,Successor contract description,Coalition network engineers; CDS administrators; field support teams
Modular Open Systems Approach,MOSA,Space Force,,Secret,Medium,,,National Harbor MD; US Army programs,“MOSA & Space Industry Summit… OPENSIG”,CACI; SAIC; Northrop,,,Multiple primes,R&D,,Provided,Chief engineers; PMs; open-architecture developers
MOJAVE / ACADIA,,NGA,,TS/SCI w/ Poly,Medium,,,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI + poly”,,,,CACI (indicative),Intel,,Provided reference,Cloud engineer; data pipeline; GEOINT analyst
MPCO VMOD (Voice Modernization),VMOD,Army,Medium,Secret,Medium,$382M,Task Order,CONUS Army posts,“Voice modernization”,Black Box,None,"January 1, 2023 → January 1, 2028",CACI (indicative),IT Ops,,Provided,Voice engineers; telecom modernization
MSS Smart Systems (Palantir contract),MSS,Army,,TS/SCI,Low,,,Classified CONUS/OCONUS,“Palantir… Smart Systems… classified customer”,,,,Palantir,Intel,,Provided,Data engineers; Palantir platform engineers; intel analysts; field support
Multi-Mission Command & Control,M2C2,MDA,,"Secret, TS/SCI",Medium,,,Aurora CO; Huntsville AL; Colorado Springs CO,“M2C2… C2 development… LM/Raytheon”,,,,Lockheed Martin / Raytheon,C5ISR,,Provided,C2 SW dev; embedded SW; Linux; systems engineering
NARSIL,NARSIL,DoD,,Secret,Medium,,,TS/SCI,Intel / IT Ops,,,,Peraton (indicative),Professional Services,,High,“High-value IDIQ… Peraton NARSIL”
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,🟠 High,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,,R&D,NCR; Dayton OH (indicative),“Peraton NARSIL”; “NASIC/IC ML/AI research”,,Target,,Peraton,Intel,,User portfolio references,Data scientists; SW engineers; ML/AI researchers; systems engineers
NASA Enterprise Service Support Technology,NESST,NASA,Low,"Public Trust, Secret",Low,,Services,NASA centers,“NASA IT”,,None,,SAIC / Leidos (indicative),IT Ops,,Provided,EUS support; deskside; enterprise IT
NASA SENSE (Space Comms & Tracking),SENSE,NASA,,Secret,Medium,$1.8B,,Near-Earth network (TDRS),“Peraton Awarded $1.8B NASA SENSE”,All Points,,,Peraton,IT Ops,,High,Network ops; RF; sustainment
NASA SEWP,SEWP,NASA,,"Public Trust, Secret",Medium,,,Nationwide,“SEWP cited as GWAC example”,IT resellers & integrators,,,Multiple,IT Ops,,Provided,Hardware/software procurement; IT services; cloud
NASA Space Network Evolution,SENSE,NASA,,Secret,High,$1.8B,,NASA SCaN Global,“Near-Earth comms; SENSE; TDRS”,All Points,,,Peraton,C5ISR,,Provided,Satellite comm engineers; network technicians
NASIC Radar Analysis Program,NASIC Radar,Air Force,,Top Secret,Medium,,,Beavercreek OH,“TS Radar Engineer – NASIC – Beavercreek OH”,,,,Ball Aerospace,Intel,,Provided,Radar engineers; data analysts
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,,Secret,Medium,,,Pax River MD,“NAVAIR Flight Ops – Pax River”,,,,Vertex Aerospace,IT Ops,,Provided,Flight ops analysts; schedulers; IT support
Navy Aegis Combat System Modernization,AEGIS,Navy,,Secret,Medium,,,Dahlgren VA; Moorestown NJ; shipyards,“Aegis”; “Combat System”; “Modernization”,,,,Lockheed Martin,C5ISR,,Top DoD-program reference set,Systems engineers; combat system SW devs; integration & test
Navy Enterprise Service Desk,NESD,Navy,,Secret,Medium,$2.5B,,Norfolk VA; San Diego CA; distributed Navy NOCs,"“NESD, Navy Helpdesk, Enterprise IT”",Perspecta; SAIC,,,Leidos,IT Ops,,NESD job-posting context & NGEN-related notes,Tier 1–3 service desk; Navy help desk; desktop support
Next Generation Interceptor,NGI,MDA,,"Secret, TS/SCI",High,$13B,,Huntsville AL; Promontory UT; test ranges,“Interceptor Development”; “Missile Defense”,Raytheon; Aerojet Rocketdyne,,,Northrop Grumman & Boeing,R&D,,GBSD Notebook; NGI BD references,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC
NextGen GEO (Network/Ops),NGG,Space Force,,"Secret, TS/SCI",High,,,Boulder CO,"“OPIR, STIG, RMF; NextGen GEO ops”",,,,Northrop Grumman,C5ISR,,GEO Ops job description,Network Eng; SysAdmin; Field Tech
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Medium,TS/SCI,Medium,Multi-$B,Production,El Segundo CA; Colorado Springs CO,"“Space C2, Missile Warning”",Multiple (needs-scrape),None,,Northrop Grumman,C5ISR,,OPIR workforce analysis,Payload SW/SE; Ground Ops; Data Exploitation
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Medium,TS/SCI,Medium,,CLASSIFIED SPACE PROGRAM,SSC / Los Angeles; Colorado Springs,“Classified satellite program; TS/SCI engineers”,,Target,,Northrop Grumman,Space,,Provided notes,Payload Eng; Ground Systems; Space Sensor Dev
NGA Enterprise Engineering,NEE,NGA,,TS/SCI,Medium,$824M,,Springfield VA; St. Louis MO,“NGA NEE $824M”,,,,Peraton (Perspecta heritage),Intel,,High,Cloud engineers; enterprise architects; GEOINT IT
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,,TS/SCI w/ Poly,Medium,$500M,,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI & poly”,,,,CACI,Intel,,Provided,Cloud engineers; data pipeline; GEOINT analysts
NGEN-R — Enterprise Network Program,NGEN-R,Navy,,Secret,High,$7.7B,,Norfolk; San Diego; global Navy/USMC,“NMCI; Navy/USMC enterprise IT”,Apex Systems; Insight Global,,,Leidos,IT Ops,,Provided,Help desk; field tech; network admin
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,,"Public Trust, Secret, Top Secret",High,$7.7B,,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),"“NMCI follow-on”; “enterprise network services for 400k+ users”; “heavy use of subcontracted staff (Apex, Insight Global) for help desks and field tech support”; “base-level IT roles at Cherry Point, Camp Lejeune, etc.”",Perspecta/Peraton; IBM; Verizon; Apex Systems; Insight Global,,,Leidos,IT Ops,,Consolidated from all NGEN-R SMIT rows in this batch,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,,Secret,High,$7.7B,,Navy/USMC worldwide,(Already normalized master row),"Apex, Insight Global, Peraton, IBM, Verizon",,,Leidos,IT Ops,,Reference pointer,Enterprise IT; help desk; NetOps; cyber
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,,TS/SCI,High,Multi-$B,,SSC; Colorado Springs,(See Batch 1),multiple,,,Northrop Grumman,C5ISR,,reference pointer,Space payloads; C2; missile-warning exploitation
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,,TS/SCI w/ Poly,High,$455M,,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,“High-security ops centers (Cheyenne Mountain)… 24/7 operations”; “limited big staffing-firm presence but some help-desk/sysadmin subcontracting”,NOVA-Diné (tribal SB); limited other subs (TS/SCI constrained),,,Jacobs,C5ISR,,Consolidated from all NISSC II rows in this batch,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support
NRO Ground Systems DevOps (Seal Beach),,NRO,,TS/SCI w/ Poly,Medium,,,Seal Beach CA,“NRO Ground Systems DevOps… TS/SCI w/ poly… Seal Beach”,,,,Boeing,Intel,,Row text,DevOps engineers; CI/CD & infra automation for NRO ground systems
NTT Applications & BPS Support,,DoD,,"Public Trust, Secret",Medium,,,Texas; remote CONUS,“NTT Data”; “Applications”; “BPS Tech Stack”,,,,NTT DATA,IT Ops,,NTT Tech Stack document,Application engineers; business analysts; apps/BPS support
NTT DATA Enterprise Architecture (BPS / Apps),,DoD,,"Public Trust, Secret",Medium,,,U.S. – Heredia CR; Atlanta GA; remote,“Enterprise Architect”; “BPS”; “NTT DATA Digital”,,,,NTT DATA,Consulting,,NTT BPS/Apps Tech-Stack docs,"Enterprise architects; solution architects (BPS, applications)"
OASIS+ Multi-Agency Services,OASIS+,DoD,Medium,"Public Trust, Secret, Top Secret",Medium,Multi-$B,GWAC,Nationwide,“OASIS+… multi-agency professional services”,Engineering + professional services SB teams,Target,,Multi-award primes,Professional Services,,GSA references,Eng services; PM; acquisition; R&D; analysis
OASIS+ Services (Already normalized),OASIS+,DoD,Medium,"Public Trust, Top Secret",Medium,Multi-$B,GWAC,Nationwide,OASIS+,multiples,None,,multiples,Professional Services,,Pointer,Eng/Prof services
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,,"Public Trust, Secret",Medium,$116.7M,,Pentagon; Mark Center; Crystal City,“LMI… $116.7M… admin & analytic support”,SB surge partners,,,LMI,Professional Services,,OUSD(A&S) description,Admin assistants; analysts; PM support
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,,"Public Trust, Secret",High,$1.8B,,Pentagon / NCR / CONUS,“PRISM IDIQ”; “surge staffing”,Many teaming partners,,,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",Professional Services,,Consolidated from all PRISM rows,Analysts; trainers; HR support; admin
PAC-3 (Consolidated),PAC-3,Army,,Secret,High,Multi-$B,,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,“PAC-3”; “Patriot”; “interceptor”,Raytheon; Boeing; Aerojet Rocketdyne,,,Lockheed Martin,Weapon Systems,,Consolidated from all PAC-3 rows,Missile engineering; assembly; test; RF engineering
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,,"Secret, TS/SCI",High,$10B,,Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,"“Patriot / Interceptor / Record Production Year”; “1,970+ MSE deliveries”; “FMS WISŁA IBCS links”",Raytheon; Boeing; L3Harris; Aerojet Rocketdyne,,,Lockheed Martin Missiles & Fire Control,C5ISR,,Lockheed PAC-3 MSE Intelligence Reports,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,,"Secret, TS/SCI",High,$9.8B,,Camden AR; Grand Prairie TX; Huntsville AL,"“PAC-3 MSE record production, >500 missiles/yr”",Boeing RF Seeker; L3H/Aerojet dual-pulse motor,,,Lockheed Martin,Weapon Systems,,HUMINT & BD Files,Manufacturing; missile eng; test; RF engineers; quality
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,High,"Secret, TS/SCI",High,$9.8B,IDIQ,Grand Prairie TX; Camden AR; Huntsville AL,"“PAC-3 MSE… 1,970 missiles… record year”",Boeing; L3Harris; Aerojet Rocketdyne,None,"January 1, 2024 → January 1, 2031",Lockheed Martin,Weapon Systems,,HUMINT and BD data,QA inspectors; assembly; missile test; systems engineers; production planners; RF testers
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,,TS/SCI w/ Poly,High,$889M,,Fort Eisenhower GA; Fort Meade MD,“Peraton Awarded $889M… ARCYBER… Cyber Mission Partners”,,,,Peraton,Cyber,,Program listing,Cyber ops planners; IO/EW; mission support
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,,TS/SCI w/ Poly,High,$1B,,Reston VA; Fort Meade MD,“High-value IC IDIQ; automation; IC cyber/data fusion”,,,,Peraton,Cyber,,NARSIL references,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,,Secret,High,$4.8B,,Poland; Huntsville AL labs,“WISŁA… IBCS portion ~$900M… Patriot batteries”,Polish PGZ; U.S. integrators,,,Raytheon & Northrop Grumman,C5ISR,,BD documents,Fielding; integration; training; IBCS engineering
PRISM Support Services (Consolidated),PRISM,DoD,,"Public Trust, Secret",High,$1.8B,,Pentagon; NCR; CONUS,“PRISM IDIQ… admin & analyst roles… surge staffing via teams”,Numerous teaming partners,,,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",IT Ops,,Program references,Admin; Program Analysts; Training; HR; data analysts
Project Convergence (JADC2 Experiments),PC,Army,,Secret,Medium,,,Yuma Proving Ground; Austin TX; labs,“SAIC… autonomy software engineers & data analysts”,Multiple (needs-scrape),,,SAIC,C5ISR,,BD notes,Autonomy SW; AI/ML analysts; JADC2 integration staff
Protected Satcom & Tactical Waveform Communications,PTW / Protected TWF,Space Force,,Secret,Medium,,,Colorado Springs (indicative),“Protected Tactical Waveform”,,,,L3Harris,Space,,SATCOM references,RF Engineers; Crypto; SATCOM SMEs
Protected Tactical SatCom / Waveform,PTW,Space Force,,Secret,Medium,,,CO (indicative),“Protected Tactical Waveform”,,,,L3Harris,Space,,L3Harris SATCOM references,RF engineers; crypto; SATCOM specialists
RUSHMORE,RUSHMORE,Space Force,,TS/SCI,High,,,Aurora CO (Buckley SFB),“Apex posting for NGC RUSHMORE team”,Apex Systems (staffing),,,Northrop Grumman,Space,,Apex & NGC job postings,Principal Java SW Engineer; C2/SATOPS SW
RUSHMORE (Already normalized),RUSHMORE,Space Force,High,TS/SCI,High,,Program,Aurora CO,RUSHMORE,Apex,Target,,Northrop,Space,,pointer,SW engineering
SCITLS,SCITLS,DoD,,Secret,Medium,,,CONUS,“SCITLS”,,,,GDIT,Logistics,,Provided,Logistics IT technicians
SCITLS (Already normalized),SCITLS,DoD,Medium,Secret,Medium,,Program,Secret,Logistics/IT,,None,,GDIT,Professional Services,,Medium,SCITLS
SCORPION (classified),SCORPION,DoD,Medium,TS/SCI,Medium,,CLASSIFIED PROGRAM,,“Listed in classified-support context”,,None,,CACI (context only),Cyber,,Low,Intel/Cyber
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,,TS/SCI,Medium,,,SDA Ops Center (likely),“Transport Layer / Tracking Layer primes”; “Peraton ground support suspected”,Peraton (suspected ground/ops sub),,,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",C5ISR,,Provided references,Satellite operators; network engineers; ground-system integrators
SeaPort Next Generation,SeaPort-NxG,Navy,,Secret,Medium,,,Navy worldwide,“SeaPort-NxG MAC”,Many engineering & IT subs,,,1023+ primes,C5ISR,,—,Systems engineering; logistics; SW; cyber
Sentinel / GBSD,GBSD,Air Force,High,"Secret, TS/SCI",High,,ICBM MODERNIZATION CONTRACT,Roy UT; Hill AFB; Ogden UT; SLC UT; CO Springs; Huntsville AL; Vandenberg; Redondo Beach CA; Brigham City UT,Sentinel; LGM-35A; GBSD,Bechtel; Aerojet; Lockheed,Target,"January 1, 2020 → January 1, 2036",Northrop Grumman,Weapon Systems,,“Sentinel Execution Strategy Guide – PTS”,Systems Eng Mgr; Cyber Eng; C2 SW Dev; Missile Propulsion; Depot Planners; Nuclear Surety
Sentinel / GBSD,GBSD,Air Force,,TS/SCI,High,$13B,,Hill AFB; Roy UT; Ogden UT,Sentinel; Minuteman III; ICBM,Insight Global; Apex; TEKsystems,,,Northrop Grumman,C5ISR,,“GBSD Strategy… Roy UT… TS/SCI…”,Systems Eng; ILS Lead; Missile Integration SME
Sentinel GBSD,GBSD,Air Force,,"Secret, Top Secret",High,$13.3B,,Ogden; Roy; Hill AFB,ICBM; Utah; C2; T&E,SAIC; Insight Global; Apex,,,Northrop Grumman,Weapon Systems,,“GBSD BD Strategy.pdf…”,Systems Eng; Cyber; Test; SW
Sentinel GBSD,GBSD,Air Force,High,"Secret, TS/SCI",High,,Production,Roy; Hill AFB; Ogden; Redondo Beach; CO Springs; Huntsville; El Segundo; Promontory; Elkton,Sentinel; LGM-35A; Digital Engineering; Strategic Deterrent,Aerojet; Textron; LMT; Bechtel; Clark; GD; Honeywell; L3Harris; CAE; Kratos; HDT,Target,,Northrop Grumman,Weapon Systems,,“Sentinel GBSD… Strategic Systems”,MBSE; SE&I; cyber; embedded SW; test; propulsion; logistics; supply chain; EVMS/CAM; QA; modeling
Sentinel GBSD,GBSD / Sentinel,Air Force,,"Secret, TS/SCI",High,$13.3B,,Roy; Hill; Ogden; Promontory; CO Springs,Minuteman III replacement,Insight Global; Apex; TEKsystems; Prime TS,,,Northrop Grumman,Weapon Systems,,“Sentinel HQ + sustainment at Hill/Roy/Ogden”,Systems Eng; SW; MBSE; Cyber
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,High,"Secret, Top Secret",High,$13.3B,EMD,Roy; Huntsville; Ogden; Hill AFB,ICBM modernization,Insight Global; Apex; TEKsystems; Belcan,Target,"January 1, 2020 → January 1, 2039",Northrop Grumman,Weapon Systems,,“Proposed Architecture for Prime TS BD Intelligence Automation”,Systems Eng; SW Eng; Test Eng; PM
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,,"Secret, TS/SCI",High,,,Roy; Hill; Ogden; Redondo Beach; El Segundo; CO Springs; Huntsville; Promontory; Elkton,LGM-35A; ICBM; RMF; Digital Engineering,Bechtel; Aerojet; LMT; GD; Honeywell; L3Harris; CAE; Kratos; HDT,,,Northrop Grumman,Weapon Systems,,“Tier-1 subcontractors… key locations…”,MBSE; Systems Eng; Cyber ISSO/ISSM; C2 SW; Test; Supply Chain; Logistics/ILS; Propulsion
Sentinel ICBM / GBSD,GBSD,Air Force,,TS/SCI,High,$85B,,Ogden; Hill; Promontory; Remote,Nuclear Command; ATO; Mission Critical,Apex; Insight Global; Prime TS,,,Northrop Grumman,Weapon Systems,,“We’re confident… support for Sentinel”,Network Eng; Cyber; SW; Sustainment
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,,TS/SCI,High,,,Ogden; Hill AFB,“Cybersecurity; RMF; Sentinel ATO; Cross Domain; Zero Trust”,Parsons; BAE Systems,,,Northrop Grumman,Cyber,,—,Cybersecurity Engineers; ISSOs; RMF
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,High,TS/SCI,High,$2.8B,IDIQ,MacDill AFB; Component Commands; OCONUS deployment,“Thousands of positions across SOCOM; cleared surge support”,Iron Bow; Iron EagleX; multiple SB subs,Target,,Peraton,C5ISR,,SOCOM SITEC III BD references,IT support; deployable techs; field comms; cyber/SOCs
SOCOM Digital Applications Data Science Support,—,CIA,,TS/SCI,High,,,Tampa FL (MacDill AFB),“$30M SOCOM… data scientists and data integration specialists”,"Subcontractors for AI/ML, cloud, data integration (needs-scrape)",,,Iron Eagle X (now GDIT),Cyber,,—,Data scientists; data integrators; cloud/DevOps; AI/ML engineers
SOCOM Enterprise IT Support,—,SOCOM,,TS/SCI,Medium,,,Tampa FL; Remote,“SOCOM… LVC exercises… cyber…”,CACI; Jacobs,,,GDIT,Cyber,,—,Cyber; Network Ops; LVC Trainer
SOCOM Software Solutions IDIQ,—,SOCOM,High,TS/SCI,High,,IDIQ,Tampa FL + SOF sites,“$430M SOCOM software support IDIQ”,Multiple SW & AI subs,Target,,Iron Eagle X (now GDIT),Cyber,,—,Software dev; cloud; DevSecOps; AI/ML; cyber
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,,TS/SCI,Medium,,,LA / Colorado,“Space payload / cyber”,—,,,SAIC / LinQuest (indicative),Cyber,,—,Payload / cyber engineers
