Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Tech Stack (Basic),Functional Areas (Basic),Job Titles (Basic),Tech Stack (PWS),Labor Categories (PWS),Clearances (PWS),Team Locations (PWS),Functional Areas (PWS),PWS Document Name,PWS Download Status,Signed Date (FPDS),Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),NAICS Code (FPDS),PSC Code (FPDS),FPDS Enrichment Status,Contractor UEI,Contractor POC Names,Contractor POC Titles,Contractor POC Emails,Contractor POC Phones,Entity API Status,Tech Stack (Combined),Functional Areas (Combined),Contract Number (USASpending),Contract Value (USASpending),Contract Description (USASpending),Awarding Agency (USASpending),Match Score,Match Terms,NAICS Description,PSC Description,PSC Category,PSC Area,DoD Portfolio
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,,"Secret, TS/SCI",High,$6.52B,,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,“GSM-O II JRSS/Network Ops… 30+ openings”,GD; AT&T/Verizon; Parsons; staffing partners,,,Leidos,,,Provided text,Network admin; boundary security; NOC; ServiceNow devs,ServiceNow; network,IT Operations; Cybersecurity,Network admin; boundary security; NOC; ServiceNow devs,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow; network,IT Operations; Cybersecurity,,,,,,,,,,,
DISA GSM-O II,GSM-O II,DISA,,TS/SCI,High,$6.52B,,Worldwide (DoDIN NOCs),“Global network ops & cyber… 24×7 NOC… Leidos uses staffing firms for surge support”,Various staffing firms for NOC/cyber (Insight Global; Apex Systems etc.),,,Leidos,Cyber,,GSM-O II program description,Network ops center techs; cyber analysts; NOC engineers; JRSS staff,network,IT Operations; Cybersecurity,Network ops center techs; cyber analysts; NOC engineers; JRSS staff,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations; Cybersecurity,,,,,,,,,,,
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,High,TS/SCI,High,$6.5B,IDIQ,Scott AFB; Fort Meade,“PTS placement at Scott AFB”; “Leidos uses subs for surge”,Insight Global; Apex Systems,Target,,Leidos,Cyber,,BD mapping notes,NOC technicians; ServiceNow developers; cyber analysts,ServiceNow,Cybersecurity,NOC technicians; ServiceNow developers; cyber analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow,Cybersecurity,,,,,,,,,,,
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,,TS/SCI,Medium,$9B,,Global DoD; Crystal City VA,“JWCC multi-cloud accounts… CCPO initiatives”,,,,Amazon; Microsoft; Google; Oracle,Cyber,,JWCC passage in BD text,Cloud architects; cloud security engineers; multi-cloud administrators,cloud,Data Analytics; Cloud Services; Cybersecurity,Cloud architects; cloud security engineers; multi-cloud administrators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Data Analytics; Cloud Services; Cybersecurity,,,,,,,,,,,
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,Medium,Secret,Medium,,Program,Fort Meade MD,“DSCM”,,,,GDIT,IT Ops,,Row text,IT/cyber analysts; logistics IT support,AI,Logistics; Cybersecurity,IT/cyber analysts; logistics IT support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Logistics; Cybersecurity,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING & SUPPLY CHAIN SERVICES,Department of State,2,chain; supply,,,,,
Distributed Common Ground System (AF),DCGS,Air Force,Medium,Secret,Medium,,Ongoing,TS/SCI,Intel / C5ISR,,Target,,BAE; multiple,Professional Services,,Medium,“AF DCGS”,,,“AF DCGS”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DLA J6 Enterprise Tech Services,JETS,DoD,,Secret,High,$6B,,DLA CONUS sites,“Perspecta used Apex Systems in 17 states”,Many small/large IT subs,,,Multiple Awardees,,,DLA JETS reference text,Help desk; app support; network ops,network,IT Operations,Help desk; app support; network ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
DLA J6 Enterprise Technology Services,DLA JETS,DoD,,"Public Trust, Secret",High,$6B,,Fort Belvoir; Columbus OH; Philadelphia PA,"“J6”, “IDIQ”, “Enterprise Tech Services”",Agile Defense; Capstone; others (needs-scrape),,,CACI; Deloitte; SAIC; GDIT,,,DoD Program List.xlsx (L2–L10),Sysadmin; help desk; cyber; engineering,,IT Operations; Cybersecurity,Sysadmin; help desk; cyber; engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations; Cybersecurity,,,,,,,,,,,
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,,"Secret, TS/SCI",High,$6B,,Fort Belvoir; Columbus OH; Scott AFB IL,“JETS 2.0”; “Leidos”; “Scott AFB”,Insight Global; Bowhead; SAIC,,,Leidos; GDIT; Booz Allen; CACI; Peraton,Cyber,,BD target ranking notes,Network engineer; cyber; cloud architect; sysadmin,cloud; network,Cloud Services; Cybersecurity,Network engineer; cyber; cloud architect; sysadmin,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud; network,Cloud Services; Cybersecurity,,,,,,,,,,,
DLA JETS (DLA J6 Variant),JETS,DoD,,Secret,Medium,,,Richmond VA; Columbus OH; other CONUS sites,“Large MA-IDIQ with constant TO churn”,,,,Multiple primes,,,Row text,Network engineers; sysadmins; software dev; cyber,network,Software Development; Cybersecurity,Network engineers; sysadmins; software dev; cyber,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Software Development; Cybersecurity,,,,,,,,,,,
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,,Secret,High,$11.9B,,NCR; remote,“$11.9B – GDIT & CACI”,,,,CACI; GDIT,,,Row text,IT; cyber; logistics analysts,,Logistics; Cybersecurity,IT; cyber; logistics analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Logistics; Cybersecurity,,,,,,,,,,,
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,,"Public Trust, Secret",Medium,Multi-$B,,MTFs nationwide,“Joint EHR”,Many,,,Leidos; Cerner; Accenture,Health IT,,Row text,Health IT; clinical IT integration; systems analysts,,Systems Engineering,Health IT; clinical IT integration; systems analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,,"Public Trust, Secret",High,$586M,,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),“HITS-U… DoD High Performance Computing… DSRC… HPCMP… SAIC… ERDC/ARL/AFRL”,Analytical Services Inc. (past); other HPC small-business partners (needs-scrape),,,SAIC,,,Derived from SAIC HPCMP/HITS program details in your files,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators,AI; network,IT Operations,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; network,IT Operations,,,,,,,,,,,
DoD IAC Multiple Award Contract,IAC-MAC,DoD,,Secret,Medium,$28B,,DoD labs CONUS,“IAC”,Universities; labs; niche contractors,,,Multiple primes,R&D,,Provided row,R&D SMEs; scientists; analysts,,,R&D SMEs; scientists; analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DoD Information Analysis Center MAC,IAC-MAC,DoD,Medium,Secret,Medium,$28B,IDIQ,CONUS R&D labs,“22 technical focus areas… prototype projects”,Universities; labs; niche firms,None,"January 1, 2018 → January 1, 2027",Multiple,R&D,,Provided,Scientists; R&D engineers; prototype developers,,,Scientists; R&D engineers; prototype developers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,,"Secret, Top Secret",Medium,$190M,,Pentagon; NCR,“DoD JSP… enterprise IT services”,SB partners,,,CACI (incumbent),,,Provided data,Helpdesk; deskside; VTC; ICAM,,,Helpdesk; deskside; VTC; ICAM,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Medium,"Secret, Top Secret",Medium,$450M,Services,Pentagon; JB Andrews,“Leidos… AFNCR communications… Pentagon”,,Target,,Leidos,IT Ops,,Provided text,Desktop support; NetOps; ICAM engineers,,IT Operations,Desktop support; NetOps; ICAM engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
DSS Support,DSS Support,DoD,Medium,Secret,Medium,,Services,NCR,“DSS/DCSA”,,None,,Northrop (mention); others,IT Ops,,Row text,Security IT; insider threat IT support,,Cybersecurity,Security IT; insider threat IT support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
DTIC / IAC MAC,IAC-MAC,DoD,,Secret,Medium,$28B,,DoD labs,“IAC”,Multiple,,,Multiple,R&D,,IAC MAC references,R&D SMEs; scientific analysts,,,R&D SMEs; scientific analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,,"Secret, Top Secret",Medium,$28B,,Fort Belvoir; Kirtland AFB,“10+ openings… research analysts”,Universities; labs; niche R&D firms,,,CACI,Intel,,Row text,Nuclear/Bio defense analysts; data scientists,,Data Analytics,Nuclear/Bio defense analysts; data scientists,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
DTRA Integrated IT Support Services,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“DTRA IT modernization”,TekSynap,,,Leidos,,,Row text,IT; cyber; ZTA specialists,,Cybersecurity,IT; cyber; ZTA specialists,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir VA; Kirtland AFB NM,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,,,Leidos,,,Provided,Network admin; systems engineer; cyber analyst,network,Cybersecurity,Network admin; systems engineer; cyber analyst,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Cybersecurity,,,,,,,,,,,
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“Zero Trust… AI automation focus”,TekSynap,,,Leidos,Cyber,,“DTRA I3TS – $205M…”,Service desk; network mgmt; Zero Trust engineers,AI; Zero Trust; network,,Service desk; network mgmt; Zero Trust engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; Zero Trust; network,,,,,,,,,,,,
DTRA IT Support Modernization,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“PTS placed techs at DTRA HQ and AF Security reps at Kirtland”,TekSynap,,,Leidos,,,BD notes,IT admins; service desk; network engineers,network,Cybersecurity,IT admins; service desk; network engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Cybersecurity,,,,,,,,,,,
DTRA IT Support Services,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“Leidos took over from SB… attrition backfill”,TekSynap,,,Leidos,Cyber,,Row text,Help desk; network eng; Zero Trust,Zero Trust; network,IT Operations,Help desk; network eng; Zero Trust,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,Zero Trust; network,IT Operations,,,,,,,,,,,
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,,"Secret, Top Secret",Medium,$655M,,Los Angeles AFB; Colorado Springs; Huntsville,“Space ground integration”,,,,SAIC,,,Row text,Systems/software engineers; cyber engineers; space-ground integration,AI,Software Development; Systems Engineering; Logistics; Cybersecurity,Systems/software engineers; cyber engineers; space-ground integration,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Software Development; Systems Engineering; Logistics; Cybersecurity,,,,,,,,,,,
EDIS / HADES (follow-on),EDIS/HADES,Space Force,,"Secret, Top Secret",Medium,,,LAAFB; CONUS ISR nodes,“EDIS/HADES”,,,,SAIC / Army,Intel,,Row text,SE&I; ISR analysts; systems engineering,,Systems Engineering,SE&I; ISR analysts; systems engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
EITaaS (Pilot – USAF),EITaaS,Air Force,,"Public Trust, Secret",Medium,$50M,,Multiple bases,“Outsourced base IT (pilot)”,AT&T; Microsoft,,,CACI (pilot),,,Program notes,Base IT; service desk; help desk; end-user services,,IT Operations,Base IT; service desk; help desk; end-user services,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
ENCORE III,ENCORE III,DISA,,Secret,Medium,$17.5B,,Global CONUS/OCONUS,“DoD IT vehicle”,Numerous,,,20 large + 20 small primes,,,ENCORE III description,IT modernization; cyber; enterprise IT,,Cybersecurity,IT modernization; cyber; enterprise IT,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Engineering Development & Integration Support,EDIS,Space Force,,"Secret, Top Secret",High,$655M,,Los Angeles AFB; Colorado Springs,“Satellite ground systems support… Ground System Enterprise… sustain legacy + integrate new sites”,SES (SW partner),,,SAIC (via Engility),,,Provided,Systems engineers; SW testers; satellite ground engineers,AI,Software Development; Systems Engineering,Systems engineers; SW testers; satellite ground engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Software Development; Systems Engineering,,,,,,,,,,,
Enterprise Account Tracking & Automation Tool,ATAT,DISA,,TS/SCI,High,$21M,,Crystal City; Remote,“ATAT… cloud account management system… DISA CCPO”,Five Star Tech Solutions,,,Hunter Strategy LLC,Professional Services,,Provided,Software developers; cloud admins; PMs; identity automation,cloud,Software Development; Cloud Services,Software developers; cloud admins; PMs; identity automation,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Software Development; Cloud Services,,,,,,,,,,,
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,,"Secret, TS/SCI",Medium,$1.3B,,Stuttgart DE; Italy; Djibouti; other OCONUS,“CACI… EUCOM/AFRICOM… OCONUS reqs”,Local national partners; small business subs,,,CACI,,,Provided row,Network ops; field comms; sysadmin; SATCOM support,network,IT Operations,Network ops; field comms; sysadmin; SATCOM support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,,"Secret, Top Secret",High,$1.3B,,Stuttgart DE + 60+ sites across Europe/Africa,“Forward-deployed IT services across 20+ overseas sites”,Local nationals + small-business onsite partners,,,CACI,C5ISR,,“CACI to deliver IT expertise… PTS placed UC SME Stuttgart”,Help desk; network ops; field comms; cloud support,cloud; network,IT Operations; Cloud Services,Help desk; network ops; field comms; cloud support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud; network,IT Operations; Cloud Services,,,,,,,,,,,
EUCOM/AFRICOM IT & Comms,,DoD,,TS/SCI,High,$1.3B,,Stuttgart + 60 EUCOM/AFRICOM sites,"“OCONUS IT support, 60 sites”",Local partners in Germany & Italy,,,CACI,,,Provided text,Field service techs; network ops; help desk; secure comms,network,IT Operations,Field service techs; network ops; help desk; secure comms,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
EUCOM/AFRICOM IT & Comms Support,,Air Force,,"Secret, Top Secret",High,$1.3B,,Europe & Africa – 60+ sites,“IT services for EUCOM/AFRICOM… 60+ overseas sites”,Multiple subs (incl. local staffing),,,CACI,C5ISR,,Provided row text,Field comms; network ops; help desk,network,IT Operations,Field comms; network ops; help desk,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
F-35 Sustainment,F-35 Sustainment,DoD,,Secret,Medium,Multi-$B,,Global F-35 bases,“F-35 sustainment”,RTX; BAE; Northrop,,,Lockheed Martin,IT Ops,,Provided,Sustainment IT; engineering; logistics IT; ALIS/ODIN support,AI,Logistics,Sustainment IT; engineering; logistics IT; ALIS/ODIN support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Logistics,,,,,,,,,,,
Fort Eisenhower (Gordon) IT Support,,Army,,Secret,Medium,,,Augusta GA,“AESD Fort Eisenhower Augusta TEKsystems”,TEKsystems,,,SAIC,IT Ops,,Provided,Service desk; night-shift coverage; sysadmin; ServiceNow,ServiceNow,,Service desk; night-shift coverage; sysadmin; ServiceNow,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow,,,,,,,,,,,,
Future Operationally Resilient Ground Evolution,FORGE,Space Force,,"Secret, TS/SCI",High,$600M,,Buckley SFB; Peterson SFB; Aurora CO,“FORGE… Raytheon $197M; BAE $151M; modernized OPIR ground architecture”,Infinity Systems; LinQuest; SciTec,,,Raytheon (Mission Data Apps); BAE (C2),C5ISR,,Provided,Agile SW; data scientists; systems integrators,,Data Analytics; Systems Engineering,Agile SW; data scientists; systems integrators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics; Systems Engineering,,,,,,,,,,,
GBS (Global Broadcast Service),GBS,DISA,Low,TS/SCI,Low,,SATCOM / BROADCAST PROGRAM,Tampa FL (MacDill AFB); Hawaii; CONUS,"“SATCOM, DISA, GBS, MacDill”",unknown (needs-scrape),None,,L3Harris (historical),C5ISR,,“Clearance overview & site priorities”,SATCOM engineers; RF tech; network admin,network,,SATCOM engineers; RF tech; network admin,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
GBSD Sentinel Missile Modernization,GBSD,Air Force,,TS/SCI,High,,,Ogden UT; Hill AFB; Vandenberg SFB,“Nuclear missile modernization”; “Sentinel”; “C3 modularity”,Leidos; CACI; other large integrators,,,Northrop Grumman,Weapon Systems,,GBSD/Sentinel program reference,Cleared engineers; mission ops; comms; C2 engineering,,,Cleared engineers; mission ops; comms; C2 engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT (GBSD) EMD AND EARLY PRODUCTION,Department of the Air Force,1,gbsd,,,,,
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,,Secret,High,$526M,,CONUS & Pacific posts,“CACI secures $526M Network Modernization”,Cisco/HPE; Corning; CommScope; Black Box,,,CACI,IT Ops,,Provided,Network engineers; cabling; voice techs; modernization,network,,Network engineers; cabling; voice techs; modernization,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
GENMOD / VMOD (Network Modernization),GENMOD,Army,,Secret,High,$526M,,Pacific + CONUS,“Base network modernization”,Cisco/HPE; CommScope; Black Box,,,CACI,IT Ops,,Provided,Network installers; voice; cyber,network,Cybersecurity,Network installers; voice; cyber,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Cybersecurity,,,,,,,,,,,
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,,Secret,Medium,,,CONUS posts,“CACI – VMOD 2 – Field Service Tech”,,,,CACI,IT Ops,,Provided,Field service techs; voice/network modernization,network,,Field service techs; voice/network modernization,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
Global Broadcast Service,GBS,DISA,,TS/SCI,Low,,,Tampa FL; Hawaii; CONUS,“SATCOM; GBS; MacDill”,unknown (needs-scrape),,,L3Harris,C5ISR,,Site priorities doc,SATCOM engineer; RF tech; network admin,network,,SATCOM engineer; RF tech; network admin,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
Global Command and Control System – Joint,GCCS-J,DISA,,TS/SCI,Medium,,,Fort Meade MD; Scott AFB IL,“DISA; legacy C2 modernization”,GDIT; SAIC; Raytheon (likely subs),,,Northrop Grumman,C5ISR,,BD tracker reference,C2 engineers; SW dev; network ops,network,IT Operations,C2 engineers; SW dev; network ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Medium,Secret,Medium,$400M,IDIQ,Suffolk VA,“C2; Command & Control”,GDIT; SAIC,None,"January 1, 2019 → January 1, 2027",Leidos,C5ISR,,Apex Systems DISA support,SW dev; systems engineering,,Systems Engineering,SW dev; systems engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,,"Secret, TS/SCI",High,$6.5B,,Scott AFB IL; Ft Meade MD; OCONUS nodes,“24×7 NOC; JRSS; OCONUS ops”,Insight Global; Apex Systems,,,Leidos,Cyber,,“Provided NOC techs… subs for surge”,NOC ops; network engineers; cyber analysts; ServiceNow,ServiceNow; network,Cybersecurity,NOC ops; network engineers; cyber analysts; ServiceNow,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow; network,Cybersecurity,,,,,,,,,,,
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,,Top Secret,High,$6.5B,,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,“PTS placed NOC Manager at Scott AFB”,PTS,,,Leidos,IT Ops,,Row text,NOC techs; cyber analysts; ServiceNow devs,ServiceNow; network,Cybersecurity,NOC techs; cyber analysts; ServiceNow devs,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow; network,Cybersecurity,,,,,,,,,,,
Global Service Management – Operations II,GSM-O II,DISA,,TS/SCI,High,$6.52B,,Scott AFB; Ft Meade; OCONUS,“24×7 DoDIN cyber ops”,Insight Global; Apex Systems,,,Leidos,Cyber,,Provided quote,NOC tech; cyber ops; network engr; ServiceNow,ServiceNow; network,Cybersecurity,NOC tech; cyber ops; network engr; ServiceNow,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow; network,Cybersecurity,,,,,,,,,,,
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Medium,"Secret, TS/SCI",Medium,$6.5B,IDIQ,Scott AFB; Ft Meade; global,“DoDIN operations”,AT&T; Verizon; Parsons; staff aug vendors,Current,"January 1, 2018 → January 1, 2028",Leidos,IT Ops,,Provided,NOC; cyber ops; servicedesk; ServiceNow,ServiceNow,Cybersecurity,NOC; cyber ops; servicedesk; ServiceNow,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ServiceNow,Cybersecurity,,,,,,,,,,,
Global Solutions Management – Operations II,GSMO II,DISA,,"Secret, Top Secret",Medium,,,Scott AFB; Ft Meade; Hill AFB,“DISA; GSMO; Leidos”,CACI; SAIC; small SB partners,,,Leidos,C5ISR,,Provided,Network engineers; systems admins; helpdesk,network,,Network engineers; systems admins; helpdesk,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
GMD Weapon System (Ground C2),GWS (GMD),MDA,🟠 High,"Secret, Top Secret",High,$3.3B,IDIQ,Huntsville AL; Schriever SFB; Ft Greely AK,“GMD Weapon System… $3.3B… weapon system integrator”,Raytheon; GD; Bechtel; others,Target,"January 1, 2022 → January 1, 2027",Northrop Grumman,C5ISR,,Provided,SW sustainment; BMC3; test engineers,AI,Logistics,SW sustainment; BMC3; test engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Logistics,,,,,,,,,,,
GMD Weapon System Modernization,GWS (GMD),MDA,,"Secret, TS/SCI",High,$3.3B,,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,Homeland missile defense,"Raytheon (BMC3), GD, Bechtel",,,Northrop Grumman,C5ISR,,Provided row text,SW engineering; modeling & simulation; cyber; C2,,Cybersecurity,SW engineering; modeling & simulation; cyber; C2,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
GPS Next-Gen Operational Control System,GPS OCX,Space Force,,"Secret, Top Secret",High,$7.6B,,Colorado Springs CO (Schriever SFB),“GPS OCX… cost overruns… provisional acceptance 2023”,Insight Global; Apex Systems (staff aug),,,Raytheon Intelligence & Space,IT Ops,,Row text,Software engineers; cyber analysts; helpdesk,,Software Development; Cybersecurity,Software engineers; cyber analysts; helpdesk,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Cybersecurity,FA880710C0001,"$4,398,059,466.01",GPS ADVANCED CONTROL SEGMENT (OCX),Department of the Air Force,3,gps; control; ocx,,,,,
GPS Operational Control System (sustainment),GPS OCX,Space Force,,"Secret, Top Secret",High,$7.7B,,Aurora CO; Schriever SFB,“GPS ground control”,GDIT; Infinity; Braxton (historical); IBM tools,,,Raytheon,IT Ops,,Provided,SW dev/test; IA; cyber; sustainment,AI,Logistics; Cybersecurity,SW dev/test; IA; cyber; sustainment,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Logistics; Cybersecurity,FA880710C0001,"$4,398,059,466.01",GPS ADVANCED CONTROL SEGMENT (OCX),Department of the Air Force,3,gps; control; ocx,,,,,
GRASP (Raytheon/Peraton),GRASP,DoD,,Secret,Medium,,,Secret,C5ISR,,,,Peraton,Professional Services,,Medium,“GRASP”,,,“GRASP”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,High,"Secret, Top Secret",High,$13.3B,IDIQ,Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,“Sentinel ICBM modernization”,Apex Systems; Insight Global; TEKsystems; Belcan; Iron Eagle X; Prime TS,Target,"January 1, 2020 → January 1, 2039",Northrop Grumman,C5ISR,,GBSD BD strategy,Systems engineers; MBSE; SW engineers; cyber; test; logistics,,Logistics; Cybersecurity,Systems engineers; MBSE; SW engineers; cyber; test; logistics,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Logistics; Cybersecurity,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT (GBSD) EMD AND EARLY PRODUCTION,Department of the Air Force,5,gbsd; strategic; ground; based; deterrent,,,,,
