Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Start Date (Tango),Current End Date (Tango),Ultimate End Date (Tango),Base + Options Value (Tango),Total Obligated (Tango),Performance Location (Tango),Tango NAICS Code,Tango PSC Code,Recipient UEI (Tango),Recipient Name (Tango),Awarding Office (Tango),Set Aside (Tango),Contract Signed Date (Tango),NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,nan,Secret,High,$11.5B,nan,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,“DES… Leidos… large IT consolidation; subs incl. NOVA-Diné”,NOVA-Diné; Accenture Federal; AT&T; Thundercat; various SBs,nan,nan,Leidos,nan,nan,Provided row text,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support,HHSN261200800001E,DES,Low,0.0,,,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,High,"Secret, Top Secret",High,$11.5B,IDIQ,Fort Belvoir; multiple 4th Estate bases,“Consolidating 4th Estate networks… PTS placed desktop support at Belvoir”,NOVA-Diné; other tribal small businesses; cleared IT subs,Current,nan,Leidos,IT Ops,nan,DES intel lines,Help desk; sysadmin; network/security ops,HHSN261200800001E,DES (DoDNet),Low,0.0,,Network Administration,Help desk; sysadmin; network/security ops,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,nan,Secret,High,nan,nan,Crystal City VA; remote,“DOD365; Microsoft 365; Flank Speed; cloud migration”,Five Star Technology Solutions,nan,nan,Microsoft,Cyber,nan,CVR/CCPO support references,O365 admins; migration leads; help desk; Teams/Exchange engineers,47QFCA22F0047,DOD365,High,4.0,Cloud,,O365 admins; migration leads; help desk; Teams/Exchange engineers,2022-09-06,2026-09-05,2027-09-05,"$216,902,890.00","$998,940,122.69","MCLEAN, VIRGINIA",541330,R499,JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2022-08-22,Engineering Services,,,,,,,,No Match
Defense Enterprise Office Solutions,DEOS,DISA,nan,"Public Trust, Secret, Top Secret",Low,nan,nan,DoD & federal offices CONUS/OCONUS,“DEOS PMO referenced in DISA Hosting & Compute context”,nan,nan,nan,CSRA / Leidos (team),nan,nan,Provided notes,O365/Teams engineers; cloud architects; UC engineers; enterprise email support,HHSN261200800001E,DEOS,Low,0.0,,,O365/Teams engineers; cloud architects; UC engineers; enterprise email support,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
Defense Health Agency Desktop to Datacenter,D2D,DoD,nan,Secret,Medium,$4.3B,nan,San Antonio TX; NCR; Hawaii,"“DHA, D2D, Desktop to Datacenter, GDIT”",Leidos; Perspecta; DHA IT partners,nan,nan,GDIT,nan,nan,“Top 20 DoD Programs”,Desktop support; help desk; sysadmin; endpoint engineers,19AQMM18C0185,D2D,Medium,1.0,,,Desktop support; help desk; sysadmin; endpoint engineers,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,nan,"Public Trust, Secret",Medium,$4.3B,nan,San Antonio TX; Falls Church VA,“DHA; MHS GENESIS; Leidos; Healthcare IT”,Cerner;; Booz Allen Hamilton,nan,nan,Leidos,nan,nan,BD cross-reference,Healthcare IT engineers; systems analysts; clinical/tech integration roles,HHSN261200800001E,MHS GENESIS,Low,0.0,,,Healthcare IT engineers; systems analysts; clinical/tech integration roles,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
Defense Logistics Agency – J6 Enterprise Technology Services,DLA JETS,DoD,Medium,Secret,Medium,nan,Multi-Year,Secret (indicative),IT Ops,nan,nan,nan,Multiple (IDIQ pool),Professional Services,nan,Medium,“DLA JETS”,nan,nan,nan,nan,,,“DLA JETS”,,,,,,,,,,,,,,,,,,,,,,No Match
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,nan,Secret,Medium,nan,nan,Colorado Springs; Fort Meade,“DSCM Satellite”,nan,nan,nan,CACI,nan,nan,Row text,SATCOM RF engineers; network engineers,47QFRA19F0011,DSCM (Satellite),Medium,1.0,,,SATCOM RF engineers; network engineers,2019-05-08,2024-04-30,2024-04-30,"$132,392,495.00","$708,253,079.87","ARLINGTON, VIRGINIA",541512,7010,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2019-05-03,Computer Systems Design Services,,,,,,,,No Match
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,nan,Public Trust,Medium,nan,nan,DFAS nationwide,“Finance IT support”,nan,nan,nan,Peraton,nan,nan,Row listing,Financial IT; ERP modernization,47QFCA20F0015,DFAS-Peraton,Medium,1.0,,IT Operations,Financial IT; ERP modernization,2019-12-18,2026-12-17,2026-12-17,"$96,427,530.00","$600,708,181.07","HERNDON, VIRGINIA",541512,D399,MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2019-12-18,Computer Systems Design Services,,,,,,,,No Match
DFAS Enterprise Support,DFAS-Peraton,DoD,Medium,Public Trust,Medium,nan,Services,DFAS sites,“Finance IT”,nan,nan,nan,Peraton,IT Ops,nan,nan,Financial systems IT; ERP support,47QFCA20F0015,DFAS-Peraton,Medium,1.0,,,Financial systems IT; ERP support,2019-12-18,2026-12-17,2026-12-17,"$96,427,530.00","$600,708,181.07","HERNDON, VIRGINIA",541512,D399,MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2019-12-18,Computer Systems Design Services,,,,,,,,No Match
DGFS (RTX),DGFS,DoD,nan,Secret,Medium,nan,nan,Tucson AZ + other sites,“DGFS RTX”,nan,nan,nan,Raytheon (RTX),Weapon Systems,nan,nan,Munitions engineers; missile specialists,N0001918C1021,DGFS,Low,0.0,,,Munitions engineers; missile specialists,2018-03-23,2024-12-30,2024-12-30,"$33,901,159.56","$8,688,654,906.89","EAST HARTFORD, CONNECTICUT",336412,2840,QN1BCFY7JDJ5,RTX CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2018-03-23,Aircraft Engine and Engine Parts Manufacturing,,,,,,,,No Match
DHS Cybersecurity Support Contract,nan,DHS,nan,Top Secret,Low,nan,nan,DC Metro,“He runs 100 people on a DHS DISA I think project”,nan,nan,nan,Five Star Technology Solutions,Cyber,nan,Provided context,Cybersecurity SMEs; program managers,nan,nan,nan,nan,,,Cybersecurity SMEs; program managers,,,,,,,,,,,,,,,,,,,,,,No Match
DHS Data Center 2,DC2,DHS,nan,"Public Trust, Secret",Medium,nan,nan,DC2 sites,“DHS DC2”,Multiple,nan,nan,GDIT / Peraton (indicative),nan,nan,nan,DC engineers; ops; cloud,GST0011AJ0025,DC2,Medium,2.0,,,DC engineers; ops; cloud,2011-02-02,2018-05-02,2018-05-02,"$87,543,399.00","$609,128,623.96","MC LEAN, VIRGINIA",541512,R499,JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC, (),NONE,2011-02-02,Computer Systems Design Services,,,,,,,,No Match
DHS Enterprise IT Services I,EITS I,DHS,nan,"Public Trust, Secret",Medium,nan,nan,DHS HQ,“DHS HQ IT”,Multiple subs,nan,nan,Leidos / SAIC (indicative),nan,nan,nan,IT services; enterprise support,FA877319FA023,EITS I,Medium,1.0,,,IT services; enterprise support,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,nan,TS/SCI,High,nan,nan,Offutt AFB NE; Stuttgart Germany,"“BICES-X,” “DIA,” “Offutt,” “TS/SCI”",Peraton; GDIT,nan,nan,CACI,C5ISR,nan,DIA mapping examples,Network engineers; sysadmins; cyber analysts,47QFRA24F0005,BICES-X,Medium,2.0,,,Network engineers; sysadmins; cyber analysts,2024-05-01,2026-04-30,2027-04-30,"$356,369,553.00","$681,999,277.86","ARLINGTON, VIRGINIA",541512,DA01,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2024-04-19,Computer Systems Design Services,,,,,,,,No Match
DIA EMERALD,EMERALD,NGA,nan,Secret,Medium,nan,nan,TS/SCI,Intel,nan,nan,nan,Peraton (Perspecta heritage),Professional Services,nan,Medium,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,80GSFC19C0063,EMERALD,Medium,1.0,,,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,2019-10-01,2026-03-31,2026-03-31,"$1,800,000,000.00","$1,414,704,681.90","HERNDON, VIRGINIA",517919,D318,ZBPQEJVECCT4,PERATON INC.,NASA GODDARD SPACE FLIGHT CENTER (National Aeronautics and Space Administration),NONE,2019-06-27,All Other Telecommunications,,,,,,,,No Match
DIA Information Systems Engineering Office,ISEO,DIA,nan,TS/SCI,High,$400M,nan,Reston VA; JBAB DC,“DIA IT Sustainment”,Insight Global; TEKsystems,nan,nan,Leidos,nan,nan,AI-Generated playbook,Sysadmin; help desk; desktop support,HHSN261200800001E,ISEO,Medium,1.0,AI/ML,,Sysadmin; help desk; desktop support,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,nan,TS/SCI w/ Poly,High,$401M,nan,JBAB DC; Reston VA,“Leidos secures $401M… manage DIA IT operations”,SHINE Systems + others,nan,nan,Leidos,Intel,nan,Contract award notes,Service desk; data center ops; mobile/IA teams,HHSN261200800001E,ISEO,Medium,1.0,,IT Operations,Service desk; data center ops; mobile/IA teams,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DIA Infrastructure Services Ops,ISEO,DIA,nan,TS/SCI,High,$401M,nan,DIA HQ (DC) + field sites,“DIA ISEO… modernization & O&M… small biz”,SHINE Systems (SB),nan,nan,Leidos,nan,nan,Award description,Service desk; mobile support; IA & data center,HHSN261200800001E,ISEO,Medium,1.0,,,Service desk; mobile support; IA & data center,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DIA ISEO,ISEO,DIA,nan,TS/SCI,High,$400M,nan,Washington DC (Bolling); remote sites,“DIA ISEO – Leidos – TS/SCI IT workforce”,nan,nan,nan,Leidos,nan,nan,Line from BD artifacts,IT support; help desk; desktop support,NSFDACS1219442,ISEO,Medium,2.0,,,IT support; help desk; desktop support,2011-12-23,2026-09-30,2026-09-30,"$593,891,038.00","$3,081,207,083.64",,561210,M1HA,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION, (),NONE,2011-12-23,Facilities Support Services,,,,,,,,No Match
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,nan,TS/SCI,High,$400M,nan,Washington DC; Fort Meade MD,“Staffing surge… clearance delays… BICES similarities”,Smaller cleared firms (unnamed),nan,nan,Leidos,Intel,nan,Notes in program extraction,Help desk; desktop; surge staffing,HHSN261200800001E,ISEO,Medium,1.0,,,Help desk; desktop; surge staffing,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DIA IT Sustainment & Engineering Office,ISEO,DIA,High,TS/SCI,High,$400M,COST-PLUS / SUSTAINMENT,Reston VA; JBAB DC,"“DIA ISEO,” “Help Desk,” “PTS angle”",Apex Systems; Insight Global,Target,nan,Leidos,Intel,nan,BD Playbook examples,Help desk; desktop; IT sustainment engineers,HHSN261200800001E,ISEO,Medium,1.0,,IT Operations,Help desk; desktop; IT sustainment engineers,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,nan,TS/SCI,High,$400M,nan,JBAB DC; DIA field sites,“$400M… large TS/SCI help desk & network ops”,SHINE Systems (SB) + others,nan,nan,Leidos,Intel,nan,Program line,Tier 1–3 help desk; VIP support; network operations,NSFDACS1219442,ISEO,Medium,2.0,,IT Operations; Network Administration,Tier 1–3 help desk; VIP support; network operations,2011-12-23,2026-09-30,2026-09-30,"$593,891,038.00","$3,081,207,083.64",,561210,M1HA,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION, (),NONE,2011-12-23,Facilities Support Services,,,,,,,,No Match
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,High,TS/SCI,High,$400M,IDIQ,JBAB DC; Reston VA,“Backbone enterprise IT… small cleared firms fill routine support”,SHINE Systems + small SBs,Target,nan,Leidos,Intel,nan,Provided BD notes,Desktop/VIP support; service desk; network ops,HHSN261200800001E,ISEO,Medium,1.0,,,Desktop/VIP support; service desk; network ops,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DIA IT Sustainment (ISEO),ISEO,DIA,nan,TS/SCI,High,$400M,nan,Reston VA; Bolling AFB; CO,“ISEO… staffing gaps… surge TS/SCI support”,Small firms (surge IT),nan,nan,Leidos,Sustainment,nan,BD notes,Desktop; help desk; TS-cleared techs,NSFDACS1219442,ISEO,Medium,2.0,,,Desktop; help desk; TS-cleared techs,2011-12-23,2026-09-30,2026-09-30,"$593,891,038.00","$3,081,207,083.64",,561210,M1HA,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION, (),NONE,2011-12-23,Facilities Support Services,,,,,,,,No Match
DIA SITE III,SITE III,DIA,nan,TS/SCI w/ Poly,Medium,$12.6B,nan,Worldwide CONUS/OCONUS,“DIA; Multi-Int; Big Data”,Booz Allen; SAIC,nan,nan,Leidos,Intel,nan,Site III ecosystem notes,DevSecOps; cyber; AI/ML; big data,NSFDACS1219442,SITE III,Medium,2.0,Data Analytics,,DevSecOps; cyber; AI/ML; big data,2011-12-23,2026-09-30,2026-09-30,"$593,891,038.00","$3,081,207,083.64",,561210,M1HA,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION, (),NONE,2011-12-23,Facilities Support Services,,,,,,,,No Match
DIA SITE III IDIQ,SITE III,DIA,nan,TS/SCI,High,nan,nan,National Harbor MD (conference note),“PTS could position for subcontracting”,PTS (prospective sub),nan,nan,"Leidos, CACI, others",Intel,nan,Program notes,Cyber; IT infrastructure; systems engineering,47QFRA24F0005,SITE III,Medium,2.0,,,Cyber; IT infrastructure; systems engineering,2024-05-01,2026-04-30,2027-04-30,"$356,369,553.00","$681,999,277.86","ARLINGTON, VIRGINIA",541512,DA01,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2024-04-19,Computer Systems Design Services,,,,,,,,No Match
DIA Solutions for the Information Technology Enterprise III,SITE III,DIA,High,TS/SCI,High,$12.6B,IDIQ,JBAB DC; DIA field sites,“High TO velocity… large TS/SCI cleared workforce”,SHINE Systems (cleared SB),Target,"January 1, 2021 → January 1, 2031",Multi-award primes,Intel,nan,SITE III documentation,Sys/Win/Linux Admin; Service Desk; SharePoint Admin,nan,nan,nan,nan,,,Sys/Win/Linux Admin; Service Desk; SharePoint Admin,,,,,,,,,,,,,,,,,,,,,,No Match
DIMS (Peraton),DIMS,Air Force,nan,Secret,Medium,nan,nan,Secret,“DIMS Peraton”,nan,nan,nan,Peraton,Data,nan,Program list reference,Data analysts; IT sustainment; cloud/DB support,47QFCA20F0015,DIMS,Medium,1.0,,,Data analysts; IT sustainment; cloud/DB support,2019-12-18,2026-12-17,2026-12-17,"$96,427,530.00","$600,708,181.07","HERNDON, VIRGINIA",541512,D399,MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2019-12-18,Computer Systems Design Services,,,,,,,,No Match
DISA ENCORE III,ENCORE III,DISA,nan,Secret,Medium,$17.5B,nan,DoD-wide,“19 performance areas… network support… cyber”,Numerous small SB subs,nan,nan,20 large + 20 small primes,Professional Services,nan,IDIQ description,IT modernization; software; cyber; net ops,nan,nan,nan,nan,,Network Administration,IT modernization; software; cyber; net ops,,,,,,,,,,,,,,,,,,,,,,No Match
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,nan,TS/SCI,Medium,$17.5B,nan,Fort Meade MD; Scott AFB IL,“CACI ENCORE III Cyber TOs… 15+ reqs”,SB partners,nan,nan,CACI,Cyber,nan,Program references,Boundary protection; DevSecOps; PKI; cyber engineering,47QFRA19F0011,ENCORE III Cyber,Medium,1.0,,,Boundary protection; DevSecOps; PKI; cyber engineering,2019-05-08,2024-04-30,2024-04-30,"$132,392,495.00","$708,253,079.87","ARLINGTON, VIRGINIA",541512,7010,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2019-05-03,Computer Systems Design Services,,,,,,,,No Match
DISA Enterprise IT Support / Cloud Support BPA,nan,DISA,nan,Top Secret,Low,nan,nan,Crystal City VA; Fort Meade MD,“DISA’s Cloud Support BPA”,nan,nan,nan,Multiple primes,nan,nan,BPA notes,Cloud SMEs; security engineers; cloud ops,nan,nan,nan,nan,Cloud,,Cloud SMEs; security engineers; cloud ops,,,,,,,,,,,,,,,,,,,,,,No Match
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,nan,"Secret, TS/SCI",High,$6.52B,nan,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,“GSM-O II JRSS/Network Ops… 30+ openings”,GD; AT&T/Verizon; Parsons; staffing partners,nan,nan,Leidos,nan,nan,Provided text,Network admin; boundary security; NOC; ServiceNow devs,89243318CFE000003,GSM-O II,Medium,1.0,,Network Administration,Network admin; boundary security; NOC; ServiceNow devs,2018-12-31,2028-12-30,2028-12-30,"$364,720,922.00","$960,260,804.00","MORGANTOWN, WEST VIRGINIA",541715,R425,MYKLJHTX3MM7,"LEIDOS, INC.",NATIONAL ENERGY TECHNOLOGY LABORATORY (Department of Energy),NONE,2018-06-25,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,,,,,,,No Match
DISA GSM-O II,GSM-O II,DISA,nan,TS/SCI,High,$6.52B,nan,Worldwide (DoDIN NOCs),“Global network ops & cyber… 24×7 NOC… Leidos uses staffing firms for surge support”,Various staffing firms for NOC/cyber (Insight Global; Apex Systems etc.),nan,nan,Leidos,Cyber,nan,GSM-O II program description,Network ops center techs; cyber analysts; NOC engineers; JRSS staff,HHSN261200800001E,GSM-O II,Low,0.0,,Network Administration,Network ops center techs; cyber analysts; NOC engineers; JRSS staff,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,High,TS/SCI,High,$6.5B,IDIQ,Scott AFB; Fort Meade,“PTS placement at Scott AFB”; “Leidos uses subs for surge”,Insight Global; Apex Systems,Target,nan,Leidos,Cyber,nan,BD mapping notes,NOC technicians; ServiceNow developers; cyber analysts,HHSN261200800001E,GSM-O II,Low,0.0,,,NOC technicians; ServiceNow developers; cyber analysts,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,nan,TS/SCI,Medium,$9B,nan,Global DoD; Crystal City VA,“JWCC multi-cloud accounts… CCPO initiatives”,nan,nan,nan,Amazon; Microsoft; Google; Oracle,Cyber,nan,JWCC passage in BD text,Cloud architects; cloud security engineers; multi-cloud administrators,W91CRB20F0448,JWCC,High,5.0,Cloud,,Cloud architects; cloud security engineers; multi-cloud administrators,2020-09-01,2024-05-31,2024-05-31,"$100,848,074.34","$290,537,976.81","ABERDEEN PROVING GROUND, MARYLAND",541330,R425,H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",W6QK ACC-APG (Department of the Army),None,2020-08-31,Engineering Services,,,,,,,,No Match
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,Medium,Secret,Medium,nan,Program,Fort Meade MD,“DSCM”,nan,nan,nan,GDIT,IT Ops,nan,Row text,IT/cyber analysts; logistics IT support,19AQMM18C0185,DSCM-GDIT,High,3.0,,,IT/cyber analysts; logistics IT support,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Distributed Common Ground System (AF),DCGS,Air Force,Medium,Secret,Medium,nan,Ongoing,TS/SCI,Intel / C5ISR,nan,Target,nan,BAE; multiple,Professional Services,nan,Medium,“AF DCGS”,FA821413C0001,DCGS,Medium,1.0,,,“AF DCGS”,2013-08-01,2026-07-31,2027-07-31,"$20,586,852.00","$2,118,906,843.81","ROCKVILLE, MARYLAND",541330,L014,LX3BSV6NNW58,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,FA8214  AFNWC PZBB (Department of the Air Force),NONE,2013-07-31,Engineering Services,,,,,,,,No Match
DLA J6 Enterprise Tech Services,JETS,DoD,nan,Secret,High,$6B,nan,DLA CONUS sites,“Perspecta used Apex Systems in 17 states”,Many small/large IT subs,nan,nan,Multiple Awardees,nan,nan,DLA JETS reference text,Help desk; app support; network ops,nan,nan,nan,nan,,,Help desk; app support; network ops,,,,,,,,,,,,,,,,,,,,,,No Match
DLA J6 Enterprise Technology Services,DLA JETS,DoD,nan,"Public Trust, Secret",High,$6B,nan,Fort Belvoir; Columbus OH; Philadelphia PA,"“J6”, “IDIQ”, “Enterprise Tech Services”",Agile Defense; Capstone; others (needs-scrape),nan,nan,CACI; Deloitte; SAIC; GDIT,nan,nan,DoD Program List.xlsx (L2–L10),Sysadmin; help desk; cyber; engineering,SAQMMA12C0130,DLA JETS,Medium,2.0,,,Sysadmin; help desk; cyber; engineering,2012-06-08,2019-09-07,2019-09-07,"$339,430,262.54","$1,219,847,693.56","STERLING, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.", (),NONE,2012-06-08,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,nan,"Secret, TS/SCI",High,$6B,nan,Fort Belvoir; Columbus OH; Scott AFB IL,“JETS 2.0”; “Leidos”; “Scott AFB”,Insight Global; Bowhead; SAIC,nan,nan,Leidos; GDIT; Booz Allen; CACI; Peraton,Cyber,nan,BD target ranking notes,Network engineer; cyber; cloud architect; sysadmin,47QFCA21F0018,DLA JETS 2.0,Medium,1.0,,,Network engineer; cyber; cloud architect; sysadmin,2021-03-09,2025-02-15,2025-05-15,"$103,358,865.00","$1,379,533,153.12","WASHINGTON, DISTRICT OF COLUMBIA",541512,DA01,JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2021-03-09,Computer Systems Design Services,,,,,,,,No Match
DLA JETS (DLA J6 Variant),JETS,DoD,nan,Secret,Medium,nan,nan,Richmond VA; Columbus OH; other CONUS sites,“Large MA-IDIQ with constant TO churn”,nan,nan,nan,Multiple primes,nan,nan,Row text,Network engineers; sysadmins; software dev; cyber,nan,nan,nan,nan,,,Network engineers; sysadmins; software dev; cyber,,,,,,,,,,,,,,,,,,,,,,No Match
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,nan,Secret,High,$11.9B,nan,NCR; remote,“$11.9B – GDIT & CACI”,nan,nan,nan,CACI; GDIT,nan,nan,Row text,IT; cyber; logistics analysts,19AQMM18C0185,JETS 2.0,Medium,1.0,,,IT; cyber; logistics analysts,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
