Rank,Acronym,Program Name,Prime Contractor,Agency,Contract Value,Obligated Amount,Contract Number,PoP Start,PoP End,Ultimate Completion,Recompete Date,Clearance,Locations,Typical Roles,BD Score,BD Priority,Greenfield Type,Bullhorn Placements,Bullhorn Mentions,Gap Status,NAICS,Set Aside,Vehicle Type,Subaward Total,Subaward Count,Data Source
185,LATERALUS,LATERALUS (IC Space ISR),Raytheon,NSA,$100.0M,$8.69B,N0001918C1021,2018-03-23,2024-12-30,2024-12-30,,TS/SCI w/ Poly,CO / NoVA SCIFs,Satellite ops engineers; intel analysts; O&M staff,,High,,,,,336412,,O&M / DEV (CLASSIFIED),$239.5M,53,master_db
186,,SeaPort,,,$86.6M,,,,,,,,,,,,,,,,,,,,0,master_db
187,,INDOPACOM,,,$80.4M,,,,,,,,,,,,,,,,,,,,0,master_db
188,,dollar,,,$67.7M,,,,,,,,,,,,,,,,,,,,0,master_db
189,,different,,,$57.1M,,,,,,,,,,,,,,,,,,,,0,master_db
190,,ECMA,,,$51.5M,,,,,,,,,,,,,,,,,,,,0,master_db
191,JS J7,Joint Staff J7 Support,HII,DoD,$50.0M,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,"Secret, TS/SCI",Suffolk VA; Quantico VA; Ft Leavenworth,LVC integrators; red-cell analysts; M&S engineers; ISSO,,High,,,,,541614,,IDIQ,$4.52B,5952,master_db
192,53rd Air Wing,53rd Air Wing IT/EW Support,"SAIC / Leidos (indicative, not confirmed)",Air Force,$47.5M,$39.9M,FA877319FA023,2019-04-28,2025-10-27,2026-07-27,,"Secret, TS/SCI","Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)",Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,,Medium,,156,,,541330,,,,0,master_db
193,HOPE 2.0,AF TENCAP – HOPE 2.0 A&AS Support,SAIC,Air Force,$47.5M,$39.9M,FA877319FA023,2019-04-28,2025-10-27,2026-07-27,,"Secret, TS/SCI",TS,Project/program managers; principal systems engineers; integration engineers; schedulers; earned-value/financial analysts; logistics and documentation support; experiment/test planners; stakeholder engagement and requirements analysts,,Medium,,,,,541330,,Services,,0,master_db
194,SPICE,SPICE (Space Payload Integration & Cyber Eng),SAIC / LinQuest (indicative),Space Force,$47.5M,$39.9M,FA877319FA023,2019-04-28,2025-10-27,2026-07-27,,TS/SCI,LA / Colorado,Payload / cyber engineers,,Medium,,,,,541330,,Services,,0,master_db
195,,Army “Project Convergence”,SAIC,Army,$45.1M,$39.3M,W15QKN19F1290,2019-08-28,2025-08-29,2025-08-29,,Top Secret,Secret,“AI/automation experimentation”; “JADC2 exercises”,,Medium,,,,,541519,,MULTI-YEAR DEMOS,,0,master_db
196,AESMF,Army Enterprise Service Management Framework,SAIC,Army,$45.1M,$39.3M,W15QKN19F1290,2019-08-28,2025-08-29,2025-08-29,,Secret,Secret / TS,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”",,Medium,,,,,541519,,,,0,master_db
197,,Army Futures Command – Project Convergence,SAIC (major integrator; autonomy & AI work),Army,$45.1M,$39.3M,W15QKN19F1290,2019-08-28,2025-08-29,2025-08-29,,Top Secret,Secret,“AI/autonomy experiments”; “Project Convergence”,,Medium,,,,,541519,,RECURRING ANNUAL CYCLES,,0,master_db
198,ARL,Army Research Lab / Adelphi Labs,SAIC,Army,$45.1M,$39.3M,W15QKN19F1290,2019-08-28,2025-08-29,2025-08-29,,Secret,Secret,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,,Medium,,,,,541519,,,,0,master_db
199,,ARNG G-2 Intelligence IT Support,SAIC,Army,$45.1M,$39.3M,W15QKN19F1290,2019-08-28,2025-08-29,2025-08-29,,TS/SCI,"Guard intel sites (e.g., Fort Belvoir)",ARCYBER Information Advantage Enterprise,,Medium,,,,,541519,,Services,,0,master_db
200,,Fort Eisenhower (Gordon) IT Support,SAIC,Army,$45.1M,$39.3M,W15QKN19F1290,2019-08-28,2025-08-29,2025-08-29,,Secret,Augusta GA,Service desk; night-shift coverage; sysadmin; ServiceNow,,Medium,,,,,541519,,,,0,master_db
201,PC,Project Convergence (JADC2 Experiments),SAIC,Army,$45.1M,$39.3M,W15QKN19F1290,2019-08-28,2025-08-29,2025-08-29,,Secret,Yuma Proving Ground; Austin TX; labs,Autonomy SW; AI/ML analysts; JADC2 integration staff,,Medium,,,,,541519,,EVENT-BASED EXPERIMENTATION,,0,master_db
202,GBS,GBS (Global Broadcast Service),L3Harris (historical),DISA,$44.5M,$421.5M,N0003022C2001,2021-10-01,2029-09-08,2029-09-08,,TS/SCI,Tampa FL (MacDill AFB); Hawaii; CONUS,SATCOM engineers; RF tech; network admin,,Low,,,,,541330,,SATCOM / BROADCAST PROGRAM,$39158.01B,172,master_db
203,,saic,,,$32.0M,,,,,,,,,,,,,,,,,,,,0,master_db
204,CCPO,DoD Cloud Computing Program Office Support (CCPO / ATAT),Hunter Strategy LLC,DISA,$21.0M,,,,,,,Public Trust,Crystal City VA; Remote; Fort Meade,Cloud engineers; cyber analysts; Azure admins; program managers,,High,,,,,,,FFP,,0,master_db
205,ATAT,Enterprise Account Tracking & Automation Tool,Hunter Strategy LLC,DISA,$21.0M,,,,,,,TS/SCI,Crystal City; Remote,Software developers; cloud admins; PMs; identity automation,,High,,,,,,,FFP,,0,master_db
206,,ECMO,,,$15.9M,,,,,,,,,,,,,,,,,,,,0,master_db
207,,biggest,,,$12.2M,,,,,,,,,,,,,,,,,,,,0,master_db
208,,Harpoon Missile,,,$11.0M,,,,,,,,,,,,,,,,,,,,0,master_db
209,,Raytheon,,,$7.0M,,,,,,,,,,,,,,,,,,,,0,master_db
210,,NSA certification,,,$5.9M,,,,,,,,,,,,,,,,,,,,0,master_db
211,,Northrop,,,$5.2M,,,,,,,,,,,,,,,,,,,,0,master_db
212,ABMS,Advanced Battle Management System,Multi (SAIC supports parts),Air Force,$3.7M,$2.9M,FA251822F0034,2022-06-27,2026-06-28,2027-06-28,,"Secret, Top Secret","Eglin AFB, FL; Hanscom AFB, MA",AUSA Modernization Portfolios (aggregate),,Medium,,15,,,541512,8A,MULTIPLE CONTRACTS,$202.4M,94,master_db
213,,This is a Long Term,,,$887K,,,,,,,,,,,,,,,,,,,,0,master_db
214,Various (e.g. AFA Events,Air & Space Cyber Conference Programs,"Multiple (Leidos, SAIC, Northrop)",Air Force,,,,,,,,,"National Harbor, MD",Aegis Ballistic Missile Defense / Aegis Program,,Medium,,16,,,,,INDUSTRY EVENTS,,0,master_db
215,CIFA,Counterintelligence Field Activity,CACI,DIA,,,,,,,,TS/SCI w/ Poly,Washington DC,HUMINT; CI analyst; intel support,,Low,,1,,,,,,,0,master_db
216,,BICESX,,,,,47QFRA24F0005,2024-05-01,2026-04-30,2027-04-30,,,,,,,,1,,,,,,,0,master_db
217,CONR BOS/IT,1st AF / CONR Base Operations & IT Services (Tyndall),,Air Force,,,,,,,,"Public Trust, Secret",,"IT ops staff running base and operational IT; BOS personnel (facility/ops staff) supporting mission infrastructure; service desk, sysadmins, network technicians",,Medium,,,,,,,Services,,0,master_db
218,AF Strategic Tech Support,AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,,Air Force,,,,,,,,"Secret, TS/SCI",,Engineering and cyber consultants; C5ISR systems engineers; strategy/roadmap analysts; cyber planners; HQ IT architects; integration engineers across AF portfolios,,Medium,,,,,,,Services,,0,master_db
219,AF TENCAP / 53rd EW,AF TENCAP – 53rd EW Group / HOPE 2.0 & Test Integration Support,,Air Force,,,,,,,,"Secret, TS/SCI","Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, test & evaluation detachments); Colorado Springs CO (AF TENCAP core); other AF TENCAP locations participating in EW/cyber experiments",Principal systems engineers; EW/cyber integration engineers; test & evaluation leads; program managers; financial managers; data/analytics staff; requirements analysts; technical writers and documentation specialists supporting EW/cyber test events and AF TENCAP prototypes,,Medium,,,,,,,Services,,0,master_db
220,AF TENCAP A&AS,AF TENCAP IT/EW Mission Support (EPASS A&AS),,Air Force,,,,,,,,"Secret, TS/SCI",,Systems engineers; experiment planners; program/project managers; schedulers; financial analysts and budgeteers; intel/space liaisons bridging NRO/NGA/IC feeds into AF TENCAP projects; configuration managers; test & evaluation support staff,,Medium,,,,,,,Services,,0,master_db
221,AICCS,AICCS C5ISR System Support (indicative),,Other,,,,,,,,"Secret, TS/SCI",,Systems engineers; integration and test engineers; C5ISR architects; requirements and interface control staff,,Medium,,,,,,,,,0,master_db
222,,Air & Space Force Cyber Conference (Event Target),Industry-wide (multiple primes),Air Force,,,,,,,,Top Secret,National Harbor MD,BD reps; Program Managers,,High,,,,,,,INDUSTRY EVENT,,0,master_db
223,,Air Force Cloud & Cyber Support Program,Five Star Tech Solutions,Air Force,,,,,,,,"Public Trust, Top Secret",Pentagon; All USAF Bases,"Cloud Engineers, Network Engineers, Cybersecurity SMEs, Admins",,High,,,,,,,Task Order,,0,master_db
224,Platform One,Air Force Platform One / DevSecOps Initiative,USAF (Internal),Air Force,,,,,,,,"Secret, Top Secret",San Antonio TX; Colorado Springs CO,DevSecOps engineers; cloud engineers; CI/CD architects,,Medium,,,,,,,AGILE SOFTWARE / CLOUD / DEVSECOPS,,0,master_db
225,—,Alamo ACE Conference / TechNet,Multiple,Army,,,,,,,,,San Antonio TX,BD reps; PMs; capture leads; cyber SMEs,,Medium,,,,,,,EVENT,,0,master_db
226,AOC Falcon V,AOC Falcon Integration Services,,Air Force,,,,,,,,"Secret, TS/SCI",,AOC engineers; C2 systems integrators; mission systems admins; network engineers supporting AOC infrastructure; software integrators for Falcon V and related tools; help-desk and floor support techs,,Medium,,,,,,,Services,,0,master_db
227,ARAT,Army Reprogramming Analysis Team,,Army,,,,,,,,Top Secret,Secret,“EW reprogramming”; ARAT mission,,Medium,,,,,,,,,0,master_db
228,ATEC,Army Test & Evaluation Command,Multiple,Army,,,,,,,,Secret,APG / Yuma / other ranges,Test engineers; instrumentation support; analysts,,Medium,,,,,,,RECOMPETE,,0,master_db
229,CITRA,ASA(ALT) CITRA,,Army,,,,,,,,Secret,NCR,ARNG G-2 Intelligence IT Support,,Medium,,,,,,,PROGRAM,,0,master_db
230,FVL / LRPF / AMD / NGCV / Network / Soldier,AUSA Modernization Portfolios (aggregate),Multiple primes (see rows),Army,,,,,,,,"Secret, Top Secret",Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,ASA(ALT) CITRA Enterprise IT Program,,Medium,,,,,,,PORTFOLIO,,0,master_db
231,Castle Net,Castle Net (Recompete),,DoD,,,,,,,,Secret,,IT ops; admins; engineers,,Medium,,,,,,,RECOMPETE,,0,master_db
232,CMMARS,CMMARS (Navy Rapid C5ISR),Multiple,Navy,,,,,,,,Secret,NAVWAR,Rapid C5ISR engineering; prototyping; integration,,Medium,,,,,,,IDIQ,,0,master_db
233,FPS2,CMS FPS2,,DoD,,,,,,,,Public Trust,CMS,DevOps; developers,,Low,,,,,,,CONTRACT,,0,master_db
234,CVR,Commercial Virtual Remote Collaboration (Legacy) – Secondary Row,,DISA,,,,,,,,Secret,IL5/IL6,“CVR… Teams… O365 sunset”,,Medium,,,,,,,2020–2021,,0,master_db
235,CRIP,CRIP (Indicative Program),,DoD,,,,,,,,Secret,Secret,“CRIP”,,Medium,,,,,,,PROGRAM,,0,master_db
236,CYBAR TRON,CYBAR TRON (Recompete),,DoD,,,,,,,,Secret,,Cyber engineers; cyber analysts,,Medium,,,,,,,RECOMPETE,,0,master_db
237,,DHS Cybersecurity Support Contract,Five Star Technology Solutions,DHS,,,,,,,,Top Secret,DC Metro,Cybersecurity SMEs; program managers,,Low,,,,,,,Services,,0,master_db
238,,DISA Enterprise IT Support / Cloud Support BPA,Multiple primes,DISA,,,,,,,,Top Secret,Crystal City VA; Fort Meade MD,Cloud SMEs; security engineers; cloud ops,,Low,,,,,,,BPA,,0,master_db
239,,DISA Forecast to Industry (Event),,DISA,,,,,,,,Secret,Fort Meade MD,BD reps; capture managers; PMs; cyber/IT vendors,,Medium,,,,,,,INDUSTRY EVENT / FORECAST,,0,master_db
240,DOTIE,DOTIE (indicative),,DoD,,,,,,,,Public Trust,DOT,IT operations,,Medium,,,,,,,PROGRAM,,0,master_db
241,EGS,Enterprise Ground Services,,Space Force,,,,,,,,TS/SCI,Peterson SFB / Los Angeles AFB (indicative),Ground SW; network ops; Space C2,,Low,,,,,,,Services,,0,master_db
242,EMAPS,Enterprise Mission Assurance Program Support,,Army,,,,,,,,Secret,NCR,RMF; cybersecurity; IA analysts,,Medium,,,,,,,Services,,0,master_db
243,FIAR-USMF,FIAR (USMC Financial Audit Readiness),,Marines,,,,,,,,Public Trust,NCR,Audit / IT controls; financial system assessors,,Medium,,,,,,,Services,,0,master_db
244,FRP,Fleet Readiness Program (Navy),Multiple primes,Navy,,,,,,,,"Public Trust, Secret",Navy depots,Logistics analysts; IT support; engineering,,Medium,,,,,,,MULTI-AWARD,,0,master_db
245,Golden Dome,Golden Dome,,DoD,,,,,,,,Secret,,C2/IT; mission system support,,Low,,,,,,,RECOMPETE,,0,master_db
246,Alliant 2/3,GSA Alliant 2/3 GWAC,Multiple primes,DoD,,,,,,,,"Public Trust, Secret, Top Secret",Federal agencies nationwide,Enterprise IT; cloud; cyber; software,,Medium,,,,,,,GWAC,,0,master_db
247,ASTRO,GSA ASTRO,Dozens of primes,DoD,,,,,,,,Secret,DoD domains (Ops/R&D/Maintenance),Ops; R&D; maintenance; dev,,Medium,,,,,,,GWAC,,0,master_db
248,GSA MAS IT,GSA Multiple Award Schedule – IT SIN 54151,Many schedule holders,DoD,,,,,,,,"Public Trust, Secret",Nationwide,IT contractors; dev; cyber; staff aug,,Medium,,,,,,,GWAC,,0,master_db
249,Hemisphere,Hemisphere,,DoD,,,,,,,,Secret,,IT ops; system support,,Medium,,,,,,,RECOMPETE,,0,master_db
250,IMDSC2,IMDSC2,,DoD,,,,,,,,Secret,,IT; C2 engineers,,Medium,,,,,,,RECOMPETE,,0,master_db
251,IMDC2 / ABMS,Interim MDC2 / ABMS,Multiple,Air Force,,,,,,,,"Secret, Top Secret",AF bases,C2 engineers; JADC2 integrators,,Medium,,,,,,,MODERNIZATION,,0,master_db
252,IRFS-MIES,IRFS-MIES,,DoD,,,,,,,,Secret,,IT operations,,Medium,,,,,,,RECOMPETE,,0,master_db
253,ISIS (Navy),ISIS (Navy),,Navy,,,,,,,,Secret,NAVWAR,ISR/IT specialists,,Medium,,,,,,,PROGRAM,,0,master_db
254,IT CROP,IT CROP (Bowhead),Bowhead,DoD,,,,,,,,Secret,Secret,“IT CROP Bowhead”,,Medium,,,,,,,PROGRAM,,0,master_db
255,MAGIU,MAGIU (Navy/AF),,Air Force,,,,,,,,Secret,Secret,“MAGIU”,,Medium,,,,,,,PROGRAM,,0,master_db
256,MAIMIS,MAIMIS (indicative),,Army,,,,,,,,Secret,Secret,“MAIMIS”,,Medium,,,,,,,PROGRAM,,0,master_db
257,Mark-710,Mark 710 (context unclear),,Navy,,,,,,,,Secret,,Weapons techs; assembly,,Low,,,,,,,PROGRAM,,0,master_db
258,Minuteman III,Minuteman III Missile Program,,Air Force,,,,,,,,Secret,NSWC Crane; NSWC Newport,Missile assembly; electronics techs; weapons sustainment,,Medium,,,,,,,PROGRAM,,0,master_db
259,MK 710,MK 710 Weapons Program,,Navy,,,,,,,,Secret,NSWC Crane; NSWC Newport,Mechanical/electrical weapons technicians,,Medium,,,,,,,PROGRAM,,0,master_db
260,MOSA,Modular Open Systems Approach,Multiple primes,Space Force,,,,,,,,Secret,National Harbor MD; US Army programs,Chief engineers; PMs; open-architecture developers,,Medium,,,,,,,CONSORTIUM / EVENT-DRIVEN,,0,master_db
261,ETIS III,NASA ETIS III,Northrop Grumman,NASA,,,,,,,,,Goddard MD,Test engineers; integration specialists,,Medium,,,,,,,Single Award,,0,master_db
262,SUSE,NASA SUSE (indicative),,NASA,,,,,,,,Public Trust,NASA,IT ops; system support,,Low,,,,,,,PROGRAM,,0,master_db
263,NASIC Radar,NASIC Radar Analysis Program,Ball Aerospace,Air Force,,,,,,,,Top Secret,Beavercreek OH,Radar engineers; data analysts,,Medium,,,,,,,Services,,0,master_db
264,NMCI,Navy Marine Corps Intranet (legacy),HP Enterprise (legacy prime – assumed),Navy,,,,,,,,Secret,"Multiple Navy & USMC bases (Norfolk, San Diego, etc.)",Network engineers; helpdesk; desktop support; field service techs,,Medium,,,,,,,Services,,0,master_db
265,NETSS,NETSS (Recompete),,DoD,,,,,,,,Secret,,IT ops,,Medium,,,,,,,RECOMPETE,,0,master_db
266,NGG-OPIR,Next-Gen GEO OPIR,Lockheed Martin,Space Force,,,,,,,,TS/SCI,Los Angeles; SSC Production,Space systems engineers; payload engineers,,Medium,,,,,,,SPACE ACQUISITION PROGRAM,,0,master_db
267,IAPD,NIH IAPD (indicative),,DoD,,,,,,,,Public Trust,NIH (Bethesda + remote),Data/IT engineers; analysts; application support,,Medium,,,,,,,PROGRAM,,0,master_db
268,NISC,NISC (indicative),,DoD,,,,,,,,Public Trust,,IT ops; general IT support,,Medium,,,,,,,RECOMPETE,,0,master_db
269,NIWC PAC,NIWC Pacific (placeholder),,Navy,,,,,,,,Secret,San Diego CA (NIWC Pac),C5ISR / IT engineers; RF / network roles,,Low,,,,,,,PROGRAM,,0,master_db
270,NSST,NSST (Navy),,Navy,,,,,,,,Secret,Navy training commands,Trainers; simulator/IT technicians,,Medium,,,,,,,PROGRAM,,0,master_db
271,OFAC PTODS,OFAC Payment / Trade Ops Data System,,Treasury,,,,,,,,Public Trust,Washington DC,Data engineers; financial systems IT,,Medium,,,,,,,FEDERAL SYSTEM,,0,master_db
272,One-T,One-T (Recompete),,DoD,,,,,,,,Secret,Secret,“One-T Recompete list”,,Medium,,,,,,,RECOMPETE,,0,master_db
273,REACT,REACT (indicative),,DoD,,,,,,,,Secret,Secret,“REACT”,,Medium,,,,,,,PROGRAM,,0,master_db
274,SeaPort-NxG,SeaPort Next Generation,1023+ primes,Navy,,,,,,,,Secret,Navy worldwide,Systems engineering; logistics; SW; cyber,,Medium,,,,,,,IDIQ,,0,master_db
275,SIPRAFT,SIPRAFT (indicative),,DoD,,,,,,,,Secret,Secret,“SIPRAFT”,,Medium,,,,,,,PROGRAM,,0,master_db
276,SLCD / SSLF,SLCD / SSLF (indicative),SAIC (context),Army,,,,,,,,Secret,Secret,“SLCD/SSLF”,,Medium,,,,,,,Services,,0,master_db
277,SSDS CSEA,SSDS CSEA,—,Navy,,,,,,,,Secret,NAVSEA,Systems engineering,,Medium,,,,,,,PROGRAM,,0,master_db
278,JRSS,JRSS - Joint Regional Security Stacks,,DoD,,,,,,,,,"Montgomery, Alabama",,,Medium,,,,,,,,,0,master_db
279,CANES,CANES - Consolidated Afloat Network Enterprise Services,,Navy,,,,,,,,,"Norfolk VA, Sully VA, Mount Vernon VA, Aiea HI, Arlington VA",,,High,,,,,,,,,0,master_db
280,AFSIM,AFSIM - Advanced Framework for Simulation Integration & Modeling,,Air Force,,,,,,,,,"San Antonio TX, Manassas VA, Tampa FL, Rivanna VA",,,Medium,,,,,,,,,0,master_db
281,NJRSS,NJRSS - Navy Joint Regional Security Stacks,,Navy,,,,,,,,,"Montgomery, Alabama",,,Medium,,,,,,,,,0,master_db
282,C-UAS,Counter-UAS Program,,Army,,,,,,,,,"Huntsville, Alabama",,,High,,,,,,,,,0,master_db
283,EVMS,EVMS - Earned Value Management Systems,,DoD,,,,,,,,,"Herndon, Virginia",,,Low,,,,,,,,,0,master_db
